weekofyear,seasonal_mean,seasonal_abs_mean
1,4.278866128027553,4.278866128027553
2,2.5467917521340495,2.5467917521340495
3,1.5730506985612005,1.5730506985612005
4,-1.9817314961632053,1.9817314961632053
5,3.321110494364453,3.321110494364453
6,3.619313526733874,3.619313526733874
7,4.454701187319768,4.454701187319768
8,2.412823608496325,2.412823608496325
9,4.54930155303047,4.54930155303047
10,4.9123030738179825,4.9123030738179825
11,5.533580182051638,5.533580182051638
12,2.73518649012228,2.73518649012228
13,4.86096835779268,4.86096835779268
14,5.2264915013061914,5.2264915013061914
15,5.472455774654199,5.472455774654199
16,5.282404692125949,5.282404692125949
17,4.168862166673747,4.168862166673747
18,4.6293844806829805,4.6293844806829805
19,5.104984781778397,5.104984781778397
20,4.134521385621194,4.134521385621194
21,2.705615395512582,2.705615395512582
22,2.3424273483609026,2.3424273483609026
23,3.6351652886560673,3.6351652886560673
24,3.864549375652346,3.864549375652346
25,0.8150339265912774,0.8150339265912774
26,-2.7710989452588266,2.7710989452588266
27,-0.7367064672801974,0.7367064672801974
28,-3.0258566601515597,3.0258566601515597
29,-2.4516055509597985,2.4516055509597985
30,-4.291329829310551,4.291329829310551
31,-3.95544649345456,3.95544649345456
32,-9.02928806074903,9.02928806074903
33,-10.435568190222405,10.435568190222405
34,-8.694473648728085,8.694473648728085
35,-6.465394502942542,6.465394502942542
36,-7.788474127980616,7.788474127980616
37,-13.213311471995263,13.213311471995263
38,-7.33351475893887,7.33351475893887
39,-8.478253752761875,8.478253752761875
40,-5.2799174794186055,5.2799174794186055
41,-3.016354710696355,3.016354710696355
42,-3.1840925345953295,3.1840925345953295
43,-1.6603501174367548,1.6603501174367548
44,-1.1416653869193243,1.1416653869193243
45,-1.8743307339604685,1.8743307339604685
46,-1.150499582655852,1.150499582655852
47,1.53522136943328,1.53522136943328
48,0.6408120599882263,0.6408120599882263
49,0.42844107007546145,0.42844107007546145
50,1.6414862562118748,1.6414862562118748
51,3.629238794317743,3.629238794317743
52,5.603645139381487,5.603645139381487
53,0.6375813880704762,0.6375813880704762
