weekofyear,seasonal_mean,seasonal_abs_mean
1,-0.5141903218245691,0.5141903218245691
2,-0.07576869179581405,0.07576869179581405
3,0.01228468972826626,0.01228468972826626
4,0.11574654319267377,0.11574654319267377
5,0.08862903044098906,0.08862903044098906
6,-0.7017008248920191,0.7017008248920191
7,-1.1947593352071142,1.1947593352071142
8,-0.32157187920842867,0.32157187920842867
9,-0.5879508029827653,0.5879508029827653
10,-0.9256172302209448,0.9256172302209448
11,-0.6391996176612952,0.6391996176612952
12,-0.37967909515004034,0.37967909515004034
13,-0.526525709280624,0.526525709280624
14,-0.16254087971276585,0.16254087971276585
15,-0.37707446525468996,0.37707446525468996
16,-0.6764157265801136,0.6764157265801136
17,-0.7776111249527758,0.7776111249527758
18,-0.6828723296901006,0.6828723296901006
19,-0.9311480273135903,0.9311480273135903
20,-0.7832446640520159,0.7832446640520159
21,-0.08994531748606491,0.08994531748606491
22,-0.41033345652463976,0.41033345652463976
23,-0.9447278539393604,0.9447278539393604
24,-1.2255111370543383,1.2255111370543383
25,-1.1571985038700408,1.1571985038700408
26,-0.5913835077764935,0.5913835077764935
27,-0.6850883716598722,0.6850883716598722
28,-0.13717177798106917,0.13717177798106917
29,0.07876095771110417,0.07876095771110417
30,0.15497041992877675,0.15497041992877675
31,0.33433117723349737,0.33433117723349737
32,1.0592638647555517,1.0592638647555517
33,0.6766573222659494,0.6766573222659494
34,1.270870395550281,1.270870395550281
35,1.2840317223782618,1.2840317223782618
36,1.1708226745829329,1.1708226745829329
37,1.7421967043113444,1.7421967043113444
38,1.4078901226026421,1.4078901226026421
39,1.8372695766611797,1.8372695766611797
40,1.8813640624762875,1.8813640624762875
41,0.6753847044159957,0.6753847044159957
42,0.33937217199052483,0.33937217199052483
43,0.3308372223004715,0.3308372223004715
44,0.4940824478049386,0.4940824478049386
45,0.6487777278503917,0.6487777278503917
46,0.5541219476873691,0.5541219476873691
47,0.5014534954637946,0.5014534954637946
48,-0.5088105817279684,0.5088105817279684
49,0.18330952045698365,0.18330952045698365
50,0.03242173307138242,0.03242173307138242
51,-0.3585529398479352,0.3585529398479352
52,-0.9895998816346834,0.9895998816346834
53,-0.47367079017980435,0.47367079017980435
