weekofyear,seasonal_mean,seasonal_abs_mean
1,-1.1013793296263235,1.1013793296263235
2,-1.1844533860971216,1.1844533860971216
3,-1.421412750914781,1.421412750914781
4,-1.6089368012092606,1.6089368012092606
5,-1.9379628070292003,1.9379628070292003
6,-2.0810643350683664,2.0810643350683664
7,-1.7443295215663104,1.7443295215663104
8,-1.868183966681066,1.868183966681066
9,-1.9865585967642805,1.9865585967642805
10,-2.034910311915409,2.034910311915409
11,-2.160277585989012,2.160277585989012
12,-2.0587680048895134,2.0587680048895134
13,-1.671175953084318,1.671175953084318
14,-1.5223873430547734,1.5223873430547734
15,-1.4208863320445393,1.4208863320445393
16,-1.4089107735955586,1.4089107735955586
17,-0.74581390256327,0.74581390256327
18,-0.6583169442304041,0.6583169442304041
19,-0.3173485325988824,0.3173485325988824
20,-0.0714913614901001,0.0714913614901001
21,0.4441643149079966,0.4441643149079966
22,0.7831919490657135,0.7831919490657135
23,0.8372102681290521,0.8372102681290521
24,0.8220959374751746,0.8220959374751746
25,1.0227164425582478,1.0227164425582478
26,1.2063255117627443,1.2063255117627443
27,1.1150492388228783,1.1150492388228783
28,1.0454976867604164,1.0454976867604164
29,1.1398898314956145,1.1398898314956145
30,1.1393707740762957,1.1393707740762957
31,1.4016170033431703,1.4016170033431703
32,1.48370581447089,1.48370581447089
33,1.5181925469804969,1.5181925469804969
34,1.5170379700927203,1.5170379700927203
35,1.5310976700809746,1.5310976700809746
36,1.4949436438709887,1.4949436438709887
37,1.5967306101323226,1.5967306101323226
38,1.5992484687481388,1.5992484687481388
39,1.4578978658096515,1.4578978658096515
40,1.4989149878062031,1.4989149878062031
41,1.3215228224872873,1.3215228224872873
42,1.1920899308283548,1.1920899308283548
43,1.183797394104226,1.183797394104226
44,1.1160217924018587,1.1160217924018587
45,0.8224601105061158,0.8224601105061158
46,0.49960044008369153,0.49960044008369153
47,0.22890506876676386,0.22890506876676386
48,0.011896437558391105,0.011896437558391105
49,-0.15383332995791943,0.15383332995791943
50,-0.3969632547220073,0.3969632547220073
51,-0.6608118282573305,0.6608118282573305
52,-1.0478109620542573,1.0478109620542573
53,-1.0773491107056257,1.0773491107056257
