weekofyear,seasonal_mean,seasonal_abs_mean
1,-1.4924007675167223,1.4924007675167223
2,-1.789437782986474,1.789437782986474
3,-1.9804314458636572,1.9804314458636572
4,-1.9924343363709593,1.9924343363709593
5,-2.022992978329517,2.022992978329517
6,-1.9564194218216215,1.9564194218216215
7,-1.6934920749167253,1.6934920749167253
8,-1.7559512870125076,1.7559512870125076
9,-1.8921447942640808,1.8921447942640808
10,-1.5452747002570348,1.5452747002570348
11,-1.3025794218341347,1.3025794218341347
12,-1.1533556809938519,1.1533556809938519
13,-0.8132717435190607,0.8132717435190607
14,-0.8307596883944806,0.8307596883944806
15,-0.7882588090939248,0.7882588090939248
16,-0.8709147860438174,0.8709147860438174
17,-0.6737585551485272,0.6737585551485272
18,-0.019140868653561873,0.019140868653561873
19,0.27213335717812337,0.27213335717812337
20,0.2900951424565422,0.2900951424565422
21,0.8494177390627553,0.8494177390627553
22,1.1981381321960856,1.1981381321960856
23,1.0670333555316038,1.0670333555316038
24,1.0421022054803697,1.0421022054803697
25,1.0943213238008722,1.0943213238008722
26,1.2822062569174477,1.2822062569174477
27,1.3790391909992694,1.3790391909992694
28,1.1920876388515103,1.1920876388515103
29,1.1587855953945523,1.1587855953945523
30,1.136359550658852,1.136359550658852
31,1.2598051783659985,1.2598051783659985
32,1.400115647424541,1.400115647424541
33,1.502965040481002,1.502965040481002
34,1.43449448010188,1.43449448010188
35,1.3038118627809268,1.3038118627809268
36,1.4279637462061634,1.4279637462061634
37,1.62188021370742,1.62188021370742
38,1.4255906509535334,1.4255906509535334
39,1.143577944556887,1.143577944556887
40,1.1735626567378803,1.1735626567378803
41,1.1542333205057977,1.1542333205057977
42,0.93542874611973,0.93542874611973
43,0.7267680215381748,0.7267680215381748
44,0.7083375854259509,0.7083375854259509
45,0.47633438376665094,0.47633438376665094
46,0.03646491922483978,0.03646491922483978
47,-0.279772488878662,0.279772488878662
48,-0.5470519602298346,0.5470519602298346
49,-0.8266306701471421,0.8266306701471421
50,-1.1321483382934414,1.1321483382934414
51,-1.2102856051246635,1.2102856051246635
52,-1.25192424010566,1.25192424010566
53,-1.259615680494121,1.259615680494121
