weekofyear,seasonal_mean,seasonal_abs_mean
1,-0.26616899864275134,0.26616899864275134
2,-3.1771717082969437,3.1771717082969437
3,-1.0126662059092706,1.0126662059092706
4,0.04646223962731355,0.04646223962731355
5,-0.9824758310728772,0.9824758310728772
6,-6.554928135650043,6.554928135650043
7,-6.952696688395213,6.952696688395213
8,-5.642267265541215,5.642267265541215
9,-5.8768763033081415,5.8768763033081415
10,-9.213693118763132,9.213693118763132
11,-11.89146690683654,11.89146690683654
12,-12.934681634179354,12.934681634179354
13,-12.660804566822637,12.660804566822637
14,-14.728256982746537,14.728256982746537
15,-15.100535908716584,15.100535908716584
16,-15.1559596479349,15.1559596479349
17,-15.744614862161383,15.744614862161383
18,-13.627088376741092,13.627088376741092
19,-14.459797198650014,14.459797198650014
20,-14.56616645119117,14.56616645119117
21,-14.33175522587522,14.33175522587522
22,-11.712430808807847,11.712430808807847
23,-11.88214064458872,11.88214064458872
24,-10.420756857642289,10.420756857642289
25,-10.322822245237715,10.322822245237715
26,-8.446757287348147,8.446757287348147
27,-8.641695638676495,8.641695638676495
28,-7.000403969727236,7.000403969727236
29,-7.0880777455155375,7.0880777455155375
30,-5.167100915316634,5.167100915316634
31,-1.921638202943928,1.921638202943928
32,5.107967781323946,5.107967781323946
33,7.779805191303912,7.779805191303912
34,9.644640072786181,9.644640072786181
35,6.895435268031866,6.895435268031866
36,19.293682089195855,19.293682089195855
37,11.074420174262855,11.074420174262855
38,18.96475382529205,18.96475382529205
39,28.187504046287362,28.187504046287362
40,21.01821432291942,21.01821432291942
41,15.872809724061312,15.872809724061312
42,18.297688432997013,18.297688432997013
43,21.808171184020857,21.808171184020857
44,15.597487537408048,15.597487537408048
45,12.958060848648493,12.958060848648493
46,11.865024089703903,11.865024089703903
47,12.854996960474184,12.854996960474184
48,12.908138267188257,12.908138267188257
49,8.07672926026339,8.07672926026339
50,3.5699926290294264,3.5699926290294264
51,-0.6132495926705125,0.6132495926705125
52,2.3478395818640356,2.3478395818640356
53,3.1890865520143215,3.1890865520143215
