number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_fold_1_mae,user_attrs_fold_1_year,user_attrs_fold_2_mae,user_attrs_fold_2_year,user_attrs_fold_3_mae,user_attrs_fold_3_year,user_attrs_fold_4_mae,user_attrs_fold_4_year,user_attrs_fold_5_mae,user_attrs_fold_5_year,user_attrs_fold_6_mae,user_attrs_fold_6_year,user_attrs_fold_7_mae,user_attrs_fold_7_year,user_attrs_fold_8_mae,user_attrs_fold_8_year,state
0,6.3653846606612206,2026-06-17 16:20:58.532486,2026-06-17 16:21:02.501344,0 days 00:00:03.968858,32,0.361682566246969,16,0.00044382070467630124,2,24,1.8354619576988676e-06,0.26923078298568726,2001,13.538461685180664,2002.0,1.615384578704834,2003.0,11.269230842590332,2004.0,2.961538553237915,2005.0,5.211538314819336,2006.0,4.057692527770996,2007.0,12.0,2008.0,COMPLETE
1,5.512019269168377,2026-06-17 16:21:02.510227,2026-06-17 16:21:06.757064,0 days 00:00:04.246837,16,0.3010559583977612,64,0.000623301365246935,2,24,6.59775768449377e-06,0.26923078298568726,2001,12.730769157409668,2002.0,1.365384578704834,2003.0,8.34615421295166,2004.0,2.634615421295166,2005.0,4.67307710647583,2006.0,3.653846263885498,2007.0,10.423076629638672,2008.0,COMPLETE
2,5.99759628623724,2026-06-17 16:21:06.765201,2026-06-17 16:21:08.727975,0 days 00:00:01.962774,32,0.3236958551290687,96,0.0005031074283454523,1,8,0.004223700126484409,0.26923078298568726,2001,13.326923370361328,2002.0,1.442307710647583,2003.0,8.288461685180664,2004.0,2.75,2005.0,4.807692527770996,2006.0,3.75,2007.0,13.34615421295166,2008.0,COMPLETE
3,5.983173005282879,2026-06-17 16:21:08.735077,2026-06-17 16:21:10.680277,0 days 00:00:01.945200,32,0.0239079108028309,128,0.00033475837216611823,2,8,0.0002346274114802574,0.26923078298568726,2001,13.173076629638672,2002.0,1.384615421295166,2003.0,8.384614944458008,2004.0,2.75,2005.0,4.769230842590332,2006.0,3.884615421295166,2007.0,13.25,2008.0,COMPLETE
4,7.115384615957737,2026-06-17 16:21:10.687457,2026-06-17 16:21:13.168214,0 days 00:00:02.480757,64,0.1351885069431179,32,0.00019106534157710195,1,4,4.566748452635581e-05,0.26923078298568726,2001,13.5,2002.0,1.7115384340286255,2003.0,12.269230842590332,2004.0,5.980769157409668,2005.0,5.788461685180664,2006.0,3.942307710647583,2007.0,13.461538314819336,2008.0,COMPLETE
5,5.661057688295841,2026-06-17 16:21:13.175344,2026-06-17 16:21:17.025680,0 days 00:00:03.850336,16,0.35854243061935603,32,0.0016541429506953397,1,16,3.877843586631946e-06,0.26923078298568726,2001,13.134614944458008,2002.0,1.4807692766189575,2003.0,7.769230842590332,2004.0,2.826923131942749,2005.0,4.692307472229004,2006.0,3.75,2007.0,11.365385055541992,2008.0,COMPLETE
6,5.399038530886173,2026-06-17 16:21:17.033027,2026-06-17 16:21:19.433455,0 days 00:00:02.400428,64,0.27349683814974024,16,0.002555742695922956,2,24,0.0058510939662746,0.26923078298568726,2001,13.307692527770996,2002.0,1.4038461446762085,2003.0,9.057692527770996,2004.0,2.423076868057251,2005.0,5.25,2006.0,3.576923131942749,2007.0,7.903846263885498,2008.0,COMPLETE
7,0.3076923191547394,2026-06-17 16:21:19.441492,2026-06-17 16:21:19.532692,0 days 00:00:00.091200,64,0.0760954785144225,128,0.003086658501724286,1,24,0.004332413047075763,0.3076923191547394,2001,,,,,,,,,,,,,,,PRUNED
8,6.360576905310154,2026-06-17 16:21:19.538970,2026-06-17 16:21:21.986934,0 days 00:00:02.447964,64,0.16272749147042578,96,0.00012826033060058456,1,4,3.96228046520059e-06,0.26923078298568726,2001,13.538461685180664,2002.0,1.4615384340286255,2003.0,9.519230842590332,2004.0,3.173076868057251,2005.0,5.596153736114502,2006.0,3.846153736114502,2007.0,13.480769157409668,2008.0,COMPLETE
9,0.32692307233810425,2026-06-17 16:21:21.994213,2026-06-17 16:21:22.103212,0 days 00:00:00.108999,16,0.347149055053657,16,0.0029624169005593613,1,24,0.00027444744583171154,0.32692307233810425,2001,,,,,,,,,,,,,,,PRUNED
10,6.322115398943424,2026-06-17 16:21:22.109453,2026-06-17 16:21:23.720200,0 days 00:00:01.610747,64,0.24011692843709959,16,0.0014168621333045552,2,12,0.0012016793791048772,0.26923078298568726,2001,13.538461685180664,2002.0,1.6538461446762085,2003.0,9.788461685180664,2004.0,2.711538553237915,2005.0,5.615384578704834,2006.0,3.557692289352417,2007.0,13.442307472229004,2008.0,COMPLETE
11,5.500000048428774,2026-06-17 16:21:23.727314,2026-06-17 16:21:27.628416,0 days 00:00:03.901102,16,0.25658419738719984,64,0.0011859395416416326,2,24,2.6177557774841333e-05,0.21153846383094788,2001,12.807692527770996,2002.0,1.442307710647583,2003.0,7.519230842590332,2004.0,2.673076868057251,2005.0,4.711538314819336,2006.0,3.538461446762085,2007.0,11.09615421295166,2008.0,COMPLETE
12,5.0793270245194435,2026-06-17 16:21:27.636160,2026-06-17 16:21:32.204312,0 days 00:00:04.568152,16,0.4306712069055712,64,0.0012184786308945643,2,24,3.4497228148297094e-05,0.26923078298568726,2001,12.865385055541992,2002.0,1.4038461446762085,2003.0,6.557692527770996,2004.0,2.788461446762085,2005.0,4.846153736114502,2006.0,3.576923131942749,2007.0,8.326923370361328,2008.0,COMPLETE
13,5.891826905310154,2026-06-17 16:21:32.212467,2026-06-17 16:21:33.301897,0 days 00:00:01.089430,64,0.44547602754311855,64,0.0037741745054100093,2,16,0.000752308076702163,0.26923078298568726,2001,12.711538314819336,2002.0,1.4038461446762085,2003.0,8.90384578704834,2004.0,2.615384578704834,2005.0,4.557692527770996,2006.0,3.634615421295166,2007.0,13.038461685180664,2008.0,COMPLETE
14,6.062499977648258,2026-06-17 16:21:33.309108,2026-06-17 16:21:35.925982,0 days 00:00:02.616874,16,0.44953376194695815,64,0.0019166878403905968,2,12,2.8119567224613653e-05,0.26923078298568726,2001,12.980769157409668,2002.0,1.4807692766189575,2003.0,9.0,2004.0,2.711538553237915,2005.0,5.096153736114502,2006.0,3.5,2007.0,13.461538314819336,2008.0,COMPLETE
15,6.0120192393660545,2026-06-17 16:21:35.933270,2026-06-17 16:21:39.911471,0 days 00:00:03.978201,16,0.1790755860299017,16,0.0009702298773916249,2,24,0.00010409656990594969,0.26923078298568726,2001,13.269230842590332,2002.0,1.384615421295166,2003.0,8.519230842590332,2004.0,2.653846263885498,2005.0,5.480769157409668,2006.0,3.576923131942749,2007.0,12.942307472229004,2008.0,COMPLETE
16,5.021634642034769,2026-06-17 16:21:39.918645,2026-06-17 16:21:41.641224,0 days 00:00:01.722579,64,0.4101688582628093,64,0.0021695015371232165,2,24,0.001406922867966177,0.21153846383094788,2001,12.307692527770996,2002.0,1.4038461446762085,2003.0,6.346153736114502,2004.0,2.538461446762085,2005.0,4.75,2006.0,3.326923131942749,2007.0,9.288461685180664,2008.0,COMPLETE
17,5.4230768624693155,2026-06-17 16:21:41.649217,2026-06-17 16:21:45.044204,0 days 00:00:03.394987,16,0.3996370883605117,64,0.004852636524765383,2,24,0.0011593041536890692,0.23076923191547394,2001,12.65384578704834,2002.0,1.4615384340286255,2003.0,7.461538314819336,2004.0,2.865384578704834,2005.0,5.057692527770996,2006.0,3.692307710647583,2007.0,9.961538314819336,2008.0,COMPLETE
18,5.920673169195652,2026-06-17 16:21:45.051440,2026-06-17 16:21:46.664107,0 days 00:00:01.612667,64,0.4009729720534781,64,0.0008558704735149244,2,16,1.2888275821042099e-05,0.26923078298568726,2001,13.307692527770996,2002.0,1.4038461446762085,2003.0,8.115385055541992,2004.0,2.519230842590332,2005.0,4.67307710647583,2006.0,3.615384578704834,2007.0,13.461538314819336,2008.0,COMPLETE
19,6.161057703197002,2026-06-17 16:21:46.671308,2026-06-17 16:21:48.443236,0 days 00:00:01.771928,32,0.40139384947455925,64,0.0019442678253679202,2,8,0.00011655713738860563,0.26923078298568726,2001,13.211538314819336,2002.0,1.442307710647583,2003.0,9.269230842590332,2004.0,2.846153736114502,2005.0,4.92307710647583,2006.0,3.788461446762085,2007.0,13.538461685180664,2008.0,COMPLETE
20,6.158653758466244,2026-06-17 16:21:48.450516,2026-06-17 16:21:51.154207,0 days 00:00:02.703691,64,0.29664896203764624,64,0.0002852845125468681,2,12,0.00043981400292475876,0.26923078298568726,2001,13.307692527770996,2002.0,1.634615421295166,2003.0,9.673076629638672,2004.0,2.442307710647583,2005.0,5.07692289352417,2006.0,3.480769157409668,2007.0,13.384614944458008,2008.0,COMPLETE
21,6.163461618125439,2026-06-17 16:21:51.161439,2026-06-17 16:21:52.679311,0 days 00:00:01.517872,64,0.406480504257101,16,0.002383945507977582,2,24,0.008029259655776713,0.26923078298568726,2001,13.538461685180664,2002.0,1.365384578704834,2003.0,10.115385055541992,2004.0,2.346153736114502,2005.0,5.038461685180664,2006.0,3.403846263885498,2007.0,13.230769157409668,2008.0,COMPLETE
