number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_fold_10_mae,user_attrs_fold_10_year,user_attrs_fold_11_mae,user_attrs_fold_11_year,user_attrs_fold_12_mae,user_attrs_fold_12_year,user_attrs_fold_13_mae,user_attrs_fold_13_year,user_attrs_fold_14_mae,user_attrs_fold_14_year,user_attrs_fold_15_mae,user_attrs_fold_15_year,user_attrs_fold_16_mae,user_attrs_fold_16_year,user_attrs_fold_1_mae,user_attrs_fold_1_year,user_attrs_fold_2_mae,user_attrs_fold_2_year,user_attrs_fold_3_mae,user_attrs_fold_3_year,user_attrs_fold_4_mae,user_attrs_fold_4_year,user_attrs_fold_5_mae,user_attrs_fold_5_year,user_attrs_fold_6_mae,user_attrs_fold_6_year,user_attrs_fold_7_mae,user_attrs_fold_7_year,user_attrs_fold_8_mae,user_attrs_fold_8_year,user_attrs_fold_9_mae,user_attrs_fold_9_year,state
0,23.408654034137726,2026-06-17 16:08:58.440843,2026-06-17 16:09:07.471253,0 days 00:00:09.030410,32,0.361682566246969,16,0.00044382070467630124,2,24,1.8354619576988676e-06,7.115384578704834,2000.0,12.0,2001.0,5.442307472229004,2002.0,7.32692289352417,2003.0,4.67307710647583,2004.0,23.19230842590332,2005.0,4.884615421295166,2006.0,53.86538314819336,1991,45.596153259277344,1992.0,8.15384578704834,1993.0,96.01923370361328,1994.0,14.019230842590332,1995.0,8.576923370361328,1996.0,12.076923370361328,1997.0,60.96154022216797,1998.0,10.634614944458008,1999.0,COMPLETE
1,17.88461521267891,2026-06-17 16:09:07.481023,2026-06-17 16:09:19.490315,0 days 00:00:12.009292,16,0.3010559583977612,64,0.000623301365246935,2,24,6.59775768449377e-06,12.961538314819336,2000.0,9.942307472229004,2001.0,7.788461685180664,2002.0,8.84615421295166,2003.0,6.75,2004.0,10.557692527770996,2005.0,3.903846263885498,2006.0,27.519229888916016,1991,14.788461685180664,1992.0,9.076923370361328,1993.0,74.57691955566406,1994.0,12.326923370361328,1995.0,10.480769157409668,1996.0,9.576923370361328,1997.0,56.403846740722656,1998.0,10.65384578704834,1999.0,COMPLETE
2,19.837740570306778,2026-06-17 16:09:19.498727,2026-06-17 16:09:24.437121,0 days 00:00:04.938394,32,0.3236958551290687,96,0.0005031074283454523,1,8,0.004223700126484409,7.57692289352417,2000.0,9.884614944458008,2001.0,6.42307710647583,2002.0,7.92307710647583,2003.0,6.769230842590332,2004.0,23.615385055541992,2005.0,4.538461685180664,2006.0,32.230770111083984,1991,14.730769157409668,1992.0,9.076923370361328,1993.0,92.76923370361328,1994.0,14.65384578704834,1995.0,9.307692527770996,1996.0,8.269230842590332,1997.0,58.94230651855469,1998.0,10.692307472229004,1999.0,COMPLETE
3,18.680288285017014,2026-06-17 16:09:24.444432,2026-06-17 16:09:30.340692,0 days 00:00:05.896260,32,0.0239079108028309,128,0.00033475837216611823,2,8,0.0002346274114802574,7.07692289352417,2000.0,10.15384578704834,2001.0,5.769230842590332,2002.0,7.75,2003.0,4.692307472229004,2004.0,20.596153259277344,2005.0,4.5,2006.0,30.326923370361328,1991,15.230769157409668,1992.0,7.519230842590332,1993.0,90.44230651855469,1994.0,12.65384578704834,1995.0,8.5,1996.0,8.75,1997.0,53.75,1998.0,11.173076629638672,1999.0,COMPLETE
4,53.86538314819336,2026-06-17 16:09:30.347982,2026-06-17 16:09:30.443118,0 days 00:00:00.095136,64,0.1351885069431179,32,0.00019106534157710195,1,4,4.566748452635581e-05,,,,,,,,,,,,,,,53.86538314819336,1991,,,,,,,,,,,,,,,,,PRUNED
5,23.490385055541992,2026-06-17 16:09:30.449401,2026-06-17 16:09:30.859096,0 days 00:00:00.409695,16,0.35854243061935603,32,0.0016541429506953397,1,16,3.877843586631946e-06,,,,,,,,,,,,,,,30.94230842590332,1991,16.038461685180664,1992.0,,,,,,,,,,,,,,,PRUNED
6,35.730770111083984,2026-06-17 16:09:30.865199,2026-06-17 16:09:31.087848,0 days 00:00:00.222649,64,0.27349683814974024,16,0.002555742695922956,2,24,0.0058510939662746,,,,,,,,,,,,,,,35.730770111083984,1991,,,,,,,,,,,,,,,,,PRUNED
7,16.728365510702133,2026-06-17 16:09:31.094122,2026-06-17 16:09:34.560173,0 days 00:00:03.466051,64,0.0760954785144225,128,0.003086658501724286,1,24,0.004332413047075763,12.519230842590332,2000.0,10.692307472229004,2001.0,10.461538314819336,2002.0,9.730769157409668,2003.0,7.5,2004.0,9.15384578704834,2005.0,4.615384578704834,2006.0,20.826923370361328,1991,14.557692527770996,1992.0,10.65384578704834,1993.0,80.67308044433594,1994.0,8.307692527770996,1995.0,8.461538314819336,1996.0,8.442307472229004,1997.0,41.519229888916016,1998.0,9.538461685180664,1999.0,COMPLETE
8,48.153846740722656,2026-06-17 16:09:34.568933,2026-06-17 16:09:34.810262,0 days 00:00:00.241329,64,0.16272749147042578,96,0.00012826033060058456,1,4,3.96228046520059e-06,,,,,,,,,,,,,,,48.153846740722656,1991,,,,,,,,,,,,,,,,,PRUNED
9,22.826923370361328,2026-06-17 16:09:34.816797,2026-06-17 16:09:35.248001,0 days 00:00:00.431204,16,0.347149055053657,16,0.0029624169005593613,1,24,0.00027444744583171154,,,,,,,,,,,,,,,28.788461685180664,1991,16.865385055541992,1992.0,,,,,,,,,,,,,,,PRUNED
