component,explained_variance_ratio,cumulative_explained_variance
1,0.18772272305483917,0.18772272305483917
2,0.15269791078893283,0.34042063384377197
3,0.03211117314183313,0.3725318069856051
4,0.027277234828701123,0.39980904181430627
5,0.022963649902627167,0.42277269171693344
6,0.021956664413381313,0.4447293561303147
7,0.019046699001389264,0.463776055131704
8,0.016888856580344228,0.4806649117120482
9,0.015982599525511437,0.4966475112375597
10,0.015182991732727325,0.511830502970287
11,0.01433590492576062,0.5261664078960476
12,0.013302040591827397,0.539468448487875
13,0.012341535799365663,0.5518099842872407
14,0.012071745427536746,0.5638817297147775
15,0.011775881386199992,0.5756576111009775
16,0.011612100916020414,0.5872697120169978
17,0.01076426635774923,0.598033978374747
18,0.010708619845733593,0.6087425982204806
19,0.010057410324572202,0.6188000085450528
20,0.009958280569632532,0.6287582891146853
21,0.009393470360560973,0.6381517594752463
22,0.009066407220619332,0.6472181666958656
23,0.008982387040436269,0.6562005537363019
24,0.00877914586528694,0.6649796996015889
25,0.008690282952250246,0.6736699825538391
26,0.008510182740543272,0.6821801652943824
27,0.008132246414282994,0.6903124117086654
28,0.00760899044965134,0.6979214021583168
29,0.007580840169753525,0.7055022423280704
30,0.0070171439599708086,0.7125193862880411
31,0.006935643781641638,0.7194550300696828
32,0.006729382699985726,0.7261844127696685
33,0.006510332569094401,0.7326947453387629
34,0.006277060035446731,0.7389718053742096
35,0.006059352266855022,0.7450311576410646
36,0.005967354870801118,0.7509985125118658
37,0.005827961350905794,0.7568264738627716
38,0.005639145520543327,0.7624656193833149
39,0.0054794952483062835,0.7679451146316212
40,0.0053486377221399215,0.7732937523537611
41,0.005206547554137535,0.7785002999078986
42,0.005031438132669109,0.7835317380405677
43,0.00495927341542047,0.7884910114559882
44,0.004913138480985188,0.7934041499369734
45,0.004754473858874954,0.7981586237958483
46,0.004648966569302237,0.8028075903651506
47,0.0044899821468366245,0.8072975725119872
48,0.0041527343295326225,0.8114503068415199
49,0.004102686571543726,0.8155529934130636
50,0.004081006298748189,0.8196339997118118
51,0.0039065555266346004,0.8235405552384464
52,0.0037985384696414466,0.8273390937080878
53,0.0037231446719377527,0.8310622383800256
54,0.003665202896604188,0.8347274412766298
55,0.003567492953676072,0.8382949342303059
56,0.0035183911319545255,0.8418133253622604
57,0.003422079996700251,0.8452354053589607
58,0.003399053170735052,0.8486344585296958
59,0.0031856667208009586,0.8518201252504968
60,0.0031346736383678227,0.8549547988888646
61,0.0030831673107720695,0.8580379661996367
62,0.0030768518477848356,0.8611148180474215
63,0.002958889955146048,0.8640737080025676
64,0.002875020473214389,0.866948728475782
65,0.0027647244469956958,0.8697134529227777
66,0.0027055952057797885,0.8724190481285575
67,0.0026620707912915595,0.8750811189198491
68,0.0024630106378783242,0.8775441295577274
69,0.00244725078881234,0.8799913803465398
70,0.002369922853563555,0.8823613032001033
71,0.002321162894680234,0.8846824660947835
72,0.002258325512904746,0.8869407916076882
73,0.00222573961782195,0.8891665312255101
74,0.002202843648644506,0.8913693748741547
75,0.0021641501622886705,0.8935335250364433
76,0.002147503278826108,0.8956810283152694
77,0.00210448665551798,0.8977855149707874
78,0.0020670664610939857,0.8998525814318814
79,0.002001070696332838,0.9018536521282142
80,0.001980108596285214,0.9038337607244994
81,0.0019570619437156104,0.905790822668215
82,0.0019146815179251406,0.9077055041861402
83,0.0018967408986026665,0.9096022450847429
84,0.001820238239573613,0.9114224833243165
85,0.0018051504845467557,0.9132276338088633
86,0.001739316134597503,0.9149669499434608
87,0.0017039265895459532,0.9166708765330068
88,0.001689075235467113,0.918359951768474
89,0.0016540234360286148,0.9200139752045026
90,0.0016378562371529815,0.9216518314416555
91,0.001607388135394362,0.9232592195770499
92,0.0015892325625883864,0.9248484521396383
93,0.001576300499967713,0.926424752639606
94,0.0015458842100812649,0.9279706368496873
95,0.001517098536061176,0.9294877353857485
96,0.0014993628499505205,0.930987098235699
97,0.0014699585208073503,0.9324570567565064
98,0.0014237860674335468,0.9338808428239399
99,0.0014055365974412922,0.9352863794213812
100,0.00138261333696168,0.9366689927583428
101,0.0013192760452839514,0.9379882688036267
102,0.0012780146861716447,0.9392662834897983
103,0.0012511393179236788,0.940517422807722
104,0.001239401013205685,0.9417568238209276
105,0.0012154087722681085,0.9429722325931957
106,0.001182393063659948,0.9441546256568557
107,0.0011657543202429406,0.9453203799770986
108,0.0011312945214104406,0.9464516744985091
109,0.0011059674662844952,0.9475576419647935
110,0.0010798890227322682,0.9486375309875258
111,0.0010453436998990211,0.9496828746874248
112,0.001034093476688316,0.9507169681641132
113,0.0010288924128268517,0.9517458605769401
114,0.0010248205714020067,0.9527706811483421
115,0.000992331025260799,0.9537630121736028
116,0.0009638200038335741,0.9547268321774364
117,0.0009549306531026505,0.9556817628305391
118,0.0009460683830287209,0.9566278312135678
119,0.0009179327940980853,0.9575457640076659
120,0.0009076344310556138,0.9584533984387215
121,0.0008874537820263449,0.9593408522207478
122,0.0008679273153232949,0.9602087795360711
123,0.0008562358267003907,0.9610650153627714
124,0.0008393092069362128,0.9619043245697076
125,0.0008025448563904376,0.9627068694260981
126,0.0007976872059466057,0.9635045566320447
127,0.0007824795013358556,0.9642870361333805
128,0.0007767166480415808,0.9650637527814221
129,0.0007681840718927973,0.9658319368533149
130,0.0007602604482875659,0.9665921973016025
131,0.0007441653025016284,0.9673363626041042
132,0.0007186525009874944,0.9680550151050916
133,0.0007150714240677928,0.9687700865291594
134,0.0007028197418703482,0.9694729062710298
135,0.0006883369683764802,0.9701612432394062
136,0.0006823796234586919,0.970843622862865
137,0.0006791847237105885,0.9715228075865755
138,0.0006523724331363598,0.9721751800197118
139,0.0006488177234521276,0.972823997743164
140,0.0006448178111916522,0.9734688155543556
141,0.0006318905316746554,0.9741007060860303
142,0.000627437031367631,0.9747281431173979
143,0.000614584812164094,0.975342727929562
144,0.0006085522339990352,0.975951280163561
145,0.0006007135678985551,0.9765519937314596
146,0.0005929292316380332,0.9771449229630976
147,0.0005742180822203291,0.977719141045318
148,0.0005733168645988061,0.9782924579099168
149,0.0005579614812725555,0.9788504193911893
150,0.0005487872972532338,0.9793992066884426
151,0.0005385869765676805,0.9799377936650103
152,0.000529582591181763,0.9804673762561921
153,0.0005148520630889991,0.9809822283192811
154,0.0005012463864759887,0.981483474705757
155,0.0004922474981863047,0.9819757222039434
156,0.0004840664674133795,0.9824597886713567
