component,feature,loading
PC1,reanalysis_tdtr_k_roll_6_mean,0.9322256196364077
PC1,reanalysis_relative_humidity_percent_roll_6_mean,-0.8955864754813161
PC1,reanalysis_tdtr_k_roll_3_mean,0.8707956350745495
PC1,reanalysis_relative_humidity_percent_roll_3_mean,-0.8328443779816572
PC1,reanalysis_max_air_temp_k_roll_3_mean,0.7984966845289286
PC1,reanalysis_max_air_temp_k_roll_6_mean,0.7767759499827586
PC1,reanalysis_specific_humidity_g_per_kg_lag_8,-0.741120594703204
PC1,reanalysis_tdtr_k_lag_3,0.7386298908080505
PC1,reanalysis_tdtr_k_lag_2,0.7365348891540501
PC1,reanalysis_specific_humidity_g_per_kg_lag_9,-0.7325698006625074
PC1,reanalysis_specific_humidity_g_per_kg_lag_7,-0.7309306908207811
PC1,reanalysis_dew_point_temp_k_lag_8,-0.7300316906347171
PC1,reanalysis_dew_point_temp_k_roll_6_mean,-0.7246002774104713
PC1,reanalysis_dew_point_temp_k_lag_7,-0.7217471383321103
PC1,reanalysis_tdtr_k_lag_4,0.7199389016554436
PC1,reanalysis_dew_point_temp_k_lag_9,-0.7197538137751974
PC1,reanalysis_specific_humidity_g_per_kg_lag_10,-0.7160818649240694
PC1,reanalysis_specific_humidity_g_per_kg_roll_6_mean,-0.7147299878827519
PC1,reanalysis_tdtr_k_lag_1,0.7143369576177727
PC1,reanalysis_relative_humidity_percent_lag_2,-0.7105987632500476
PC2,reanalysis_air_temp_k_roll_6_mean,0.8365754602277209
PC2,reanalysis_avg_temp_k_roll_6_mean,0.8165921712944599
PC2,station_avg_temp_c_roll_6_mean,0.8046421620794981
PC2,reanalysis_min_air_temp_k_roll_3_mean,0.7749839867711744
PC2,reanalysis_min_air_temp_k_roll_6_mean,0.7505287049090196
PC2,station_max_temp_c_roll_6_mean,0.7306256827851337
PC2,reanalysis_air_temp_k_lag_6,0.710084946175842
PC2,station_avg_temp_c_roll_3_mean,0.7072962935456979
PC2,reanalysis_air_temp_k_lag_5,0.7071707488526929
PC2,reanalysis_air_temp_k_roll_3_mean,0.7055575161718034
PC2,reanalysis_air_temp_k_lag_7,0.7007717724099566
PC2,reanalysis_avg_temp_k_lag_6,0.6947958027343931
PC2,reanalysis_avg_temp_k_lag_7,0.6897592449504897
PC2,reanalysis_avg_temp_k_lag_5,0.6853353278443878
PC2,reanalysis_air_temp_k_lag_4,0.6826988297961204
PC2,reanalysis_air_temp_k_lag_8,0.6811897480007453
PC2,reanalysis_min_air_temp_k,0.6758409763609338
PC2,reanalysis_min_air_temp_k_lag_0,0.6758409763609335
PC2,reanalysis_avg_temp_k_lag_8,0.6756563574113027
PC2,reanalysis_specific_humidity_g_per_kg_roll_3_mean,0.6742729379688328
PC3,station_max_temp_c_roll_3_mean,0.4230829350799399
PC3,reanalysis_relative_humidity_percent_lag_11,0.4194748557529626
PC3,station_max_temp_c_lag_0,0.4169773342303163
PC3,station_max_temp_c,0.4169773342303163
PC3,reanalysis_relative_humidity_percent_lag_12,0.4129074819786195
PC3,ndvi_nw_roll_3_mean,0.40901789840098773
PC3,station_max_temp_c_lag_1,0.40017117062001056
PC3,reanalysis_tdtr_k_lag_12,-0.3957838046213686
PC3,reanalysis_tdtr_k_lag_11,-0.39364897742672034
PC3,reanalysis_relative_humidity_percent_lag_10,0.37951476169406106
PC3,reanalysis_relative_humidity_percent_lag_13,0.3717211177165625
PC3,ndvi_nw_roll_6_mean,0.3689390614223542
PC3,station_avg_temp_c_roll_3_mean,0.3682183366215403
PC3,reanalysis_max_air_temp_k_lag_11,-0.3658273919558523
PC3,reanalysis_tdtr_k_lag_13,-0.3582291110738722
PC3,station_max_temp_c_lag_2,0.35651946833140374
PC3,station_diur_temp_rng_c_roll_3_mean,0.3535388569459827
PC3,reanalysis_max_air_temp_k_lag_12,-0.3535074595949308
PC3,reanalysis_tdtr_k_lag_10,-0.351080045647447
PC3,reanalysis_air_temp_k_lag_11,-0.34576781220843616
