city,component,feature,importance_gain,importance_split
iq,broad_weather_l1_log,weekofyear_sin,936.3047165870667,108
iq,broad_weather_l1_log,ndvi_nw_lag_14,916.0733799934387,118
iq,broad_weather_l1_log,weekofyear_cos,848.6723580360413,100
iq,broad_weather_l1_log,station_avg_temp_c_rolling_6_mean,843.8229789733887,102
iq,broad_weather_l1_log,station_max_temp_c_rolling_6_mean,771.0275168418884,99
iq,broad_weather_l1_log,reanalysis_precip_amt_kg_per_m2,733.8669509887695,92
iq,broad_weather_l1_log,ndvi_sw_lag_10,726.2387018203735,95
iq,broad_weather_l1_log,station_avg_temp_c_rolling_4_mean,724.0619707107544,84
iq,broad_weather_l1_log,station_min_temp_c_rolling_6_mean,696.6303994655609,87
iq,broad_weather_l1_log,precipitation_amt_mm_rolling_14_mean,693.4047470092773,87
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_7_mean,692.3304061889648,38
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,666.7451827526093,54
iq,broad_weather_l1_log,station_avg_temp_c_lag_2,635.4141502380371,80
iq,broad_weather_l1_log,station_avg_temp_c_lag_6,616.8359594345093,85
iq,broad_weather_l1_log,ndvi_sw_lag_11,603.3181309700012,84
iq,broad_weather_l1_log,ndvi_sw_lag_14,595.3609104156494,82
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_5,585.0570814609528,79
iq,broad_weather_l1_log,station_avg_temp_c_lag_4,573.9953501224518,74
iq,broad_weather_l1_log,station_avg_temp_c,569.7892010211945,73
iq,broad_weather_l1_log,ndvi_nw,568.9206111431122,76
iq,broad_weather_l1_log,station_min_temp_c,566.5486998558044,75
iq,broad_weather_l1_log,station_max_temp_c_lag_6,560.6576900482178,74
iq,broad_weather_l1_log,ndvi_se,556.9754385948181,75
iq,broad_weather_l1_log,precipitation_amt_mm,556.9351971149445,75
iq,broad_weather_l1_log,station_min_temp_c_lag_6,552.1168780326843,75
iq,broad_weather_l1_log,ndvi_ne,551.9642815589905,73
iq,broad_weather_l1_log,precipitation_amt_mm_rolling_4_mean,546.2579801082611,73
iq,broad_weather_l1_log,ndvi_nw_lag_10,520.0173324346542,72
iq,broad_weather_l1_log,station_max_temp_c_rolling_5_mean,505.47773265838623,62
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_8_mean,500.0647954940796,42
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_5_mean,479.8287100791931,46
iq,broad_weather_l1_log,ndvi_nw_lag_11,453.1854212284088,66
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_2,436.1201112270355,60
iq,broad_weather_l1_log,precipitation_amt_mm_rolling_7_mean,428.99944162368774,58
iq,broad_weather_l1_log,station_min_temp_c_lag_1,428.4974069595337,55
iq,broad_weather_l1_log,ndvi_sw,421.28624057769775,60
iq,broad_weather_l1_log,station_avg_temp_c_rolling_5_mean,419.6408896446228,49
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_5,413.9715781211853,56
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_3,406.0210819244385,52
iq,broad_weather_l1_log,station_min_temp_c_rolling_5_mean,400.1640319824219,48
iq,broad_weather_l1_log,precipitation_amt_mm_lag_3,395.92783093452454,57
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_3,390.9445114135742,53
iq,broad_weather_l1_log,station_avg_temp_c_rolling_3_mean,390.4971008300781,53
iq,broad_weather_l1_log,station_max_temp_c_lag_4,384.9180097579956,53
iq,broad_weather_l1_log,station_min_temp_c_rolling_3_mean,382.42789220809937,48
iq,broad_weather_l1_log,station_min_temp_c_lag_2,378.5661792755127,49
iq,broad_weather_l1_log,precipitation_amt_mm_rolling_10_mean,364.5876298546791,49
iq,broad_weather_l1_log,station_max_temp_c,361.7936706542969,50
iq,broad_weather_l1_log,station_min_temp_c_lag_3,356.83301997184753,50
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_3_mean,354.5822706222534,46
iq,broad_weather_l1_log,precipitation_amt_mm_lag_2,320.8742082118988,46
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_2,320.6410813331604,39
iq,broad_weather_l1_log,reanalysis_min_air_temp_k,318.20820903778076,43
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg,313.5837092399597,40
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_8_mean,311.82295989990234,36
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_5,309.89916014671326,41
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_6_mean,306.59892988204956,41
iq,broad_weather_l1_log,station_min_temp_c_rolling_4_mean,304.8432106971741,37
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_1,294.71449995040894,41
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_6_mean,264.0843074321747,32
iq,broad_weather_l1_log,station_min_temp_c_lag_4,243.1624813079834,35
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_3,237.85000944137573,32
iq,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_4_mean,215.25689911842346,31
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,210.33660078048706,28
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,207.98143863677979,22
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,203.429669380188,27
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_2,193.78087043762207,24
iq,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_1,191.05828022956848,26
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_3_mean,187.52966976165771,25
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k,161.2643699645996,19
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_1,155.99322032928467,23
iq,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_4_mean,124.70917844772339,17
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_lag_3,64.6846399307251,8
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_rolling_10_mean,61.47211933135986,7
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_rolling_7_mean,47.05160999298096,7
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_lag_2,45.0300498008728,7
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_rolling_4_mean,39.70027017593384,5
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm,36.379130125045776,6
iq,broad_weather_l1_log,reanalysis_sat_precip_amt_mm_rolling_14_mean,30.419699668884277,4
iq,calendar_l1_raw,weekofyear_cos,1289.6463525380332,1424
iq,calendar_l1_raw,weekofyear_sin,1154.6069046965604,2496
sj,broad_weather_l1_log,station_avg_temp_c_lag_12,2706.22958612442,69
sj,broad_weather_l1_log,station_max_temp_c_rolling_14_mean,1224.5235624313354,102
sj,broad_weather_l1_log,station_min_temp_c_rolling_14_mean,1150.0963201522827,91
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_10,1087.6710648536682,48
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_3,716.1993870735168,75
sj,broad_weather_l1_log,reanalysis_avg_temp_k_lag_12,704.5722494125366,55
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_rolling_12_mean,665.613214969635,61
sj,broad_weather_l1_log,station_max_temp_c_rolling_10_mean,661.8282341957092,60
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_8_mean,601.7207908630371,62
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_6,581.1617097854614,57
sj,broad_weather_l1_log,station_min_temp_c_rolling_12_mean,565.2295503616333,44
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_12,553.5066328048706,31
sj,broad_weather_l1_log,station_avg_temp_c_rolling_8_mean,542.2662816047668,48
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_14_mean,542.0500912666321,48
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_5,531.3006896972656,55
sj,broad_weather_l1_log,station_max_temp_c_rolling_5_mean,522.1751403808594,48
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_6_mean,520.4334597587585,51
sj,broad_weather_l1_log,station_avg_temp_c_rolling_6_mean,509.7736601829529,49
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_8,502.6210775375366,60
sj,broad_weather_l1_log,reanalysis_relative_humidity_percent,500.85288286209106,63
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_12,497.38484048843384,46
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_8,492.2632746696472,52
sj,broad_weather_l1_log,reanalysis_air_temp_k_rolling_8_mean,489.4741406440735,47
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_2,465.1193404197693,50
sj,broad_weather_l1_log,station_max_temp_c_rolling_12_mean,453.9658899307251,37
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_5_mean,440.54323148727417,45
sj,broad_weather_l1_log,weekofyear_cos,434.7963480949402,40
sj,broad_weather_l1_log,station_avg_temp_c_lag_2,434.28759145736694,48
sj,broad_weather_l1_log,station_min_temp_c_rolling_8_mean,430.79361057281494,44
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_rolling_8_mean,423.729549407959,42
sj,broad_weather_l1_log,station_avg_temp_c_rolling_5_mean,423.2194871902466,43
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_12_mean,422.02282667160034,48
sj,broad_weather_l1_log,station_avg_temp_c_lag_8,419.29245948791504,47
sj,broad_weather_l1_log,station_avg_temp_c_lag_5,418.9362463951111,45
sj,broad_weather_l1_log,station_avg_temp_c_lag_6,411.01613998413086,43
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_14_mean,408.54897022247314,36
sj,broad_weather_l1_log,reanalysis_avg_temp_k_rolling_10_mean,406.163369178772,34
sj,broad_weather_l1_log,station_avg_temp_c_rolling_12_mean,403.69630002975464,39
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_lag_12,395.23225927352905,41
sj,broad_weather_l1_log,station_avg_temp_c_lag_10,395.1366329193115,34
sj,broad_weather_l1_log,station_max_temp_c_rolling_8_mean,395.1044383049011,41
sj,broad_weather_l1_log,reanalysis_air_temp_k_lag_12,386.58445930480957,34
sj,broad_weather_l1_log,station_avg_temp_c_rolling_14_mean,381.39381170272827,42
sj,broad_weather_l1_log,reanalysis_avg_temp_k_lag_8,377.75404119491577,41
sj,broad_weather_l1_log,station_max_temp_c_rolling_6_mean,372.65878105163574,37
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_rolling_14_mean,368.8529691696167,37
sj,broad_weather_l1_log,reanalysis_air_temp_k_lag_10,364.4824113845825,37
sj,broad_weather_l1_log,reanalysis_air_temp_k,363.0044984817505,34
sj,broad_weather_l1_log,station_avg_temp_c_rolling_10_mean,356.97655057907104,34
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_7_mean,353.3385000228882,36
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_lag_8,349.18305921554565,41
sj,broad_weather_l1_log,reanalysis_avg_temp_k_rolling_14_mean,344.4973211288452,29
sj,broad_weather_l1_log,station_min_temp_c_rolling_10_mean,333.00616979599,35
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_2,328.8583388328552,42
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_lag_10,326.70950078964233,41
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_4_mean,325.97347927093506,32
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_10_mean,324.1598701477051,34
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_3,318.56072092056274,34
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_10,318.2717914581299,39
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_lag_6,314.9411325454712,35
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_3,311.79034996032715,39
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_8,310.1141710281372,28
sj,broad_weather_l1_log,reanalysis_air_temp_k_lag_8,308.34970903396606,32
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_8_mean,300.32932233810425,29
sj,broad_weather_l1_log,reanalysis_air_temp_k_rolling_10_mean,298.30436086654663,28
sj,broad_weather_l1_log,station_avg_temp_c,297.46450090408325,35
sj,broad_weather_l1_log,reanalysis_max_air_temp_k_rolling_10_mean,295.314208984375,31
sj,broad_weather_l1_log,reanalysis_avg_temp_k_lag_10,293.98990964889526,33
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_rolling_12_mean,289.86594104766846,29
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,289.8186602592468,27
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_rolling_10_mean,287.71874046325684,32
sj,broad_weather_l1_log,station_max_temp_c_lag_10,285.1490287780762,16
sj,broad_weather_l1_log,station_max_temp_c,280.17084980010986,33
sj,broad_weather_l1_log,reanalysis_avg_temp_k,279.02778005599976,30
sj,broad_weather_l1_log,reanalysis_air_temp_k_rolling_14_mean,277.9338798522949,25
sj,broad_weather_l1_log,reanalysis_avg_temp_k_lag_6,274.7414798736572,30
sj,broad_weather_l1_log,reanalysis_dew_point_temp_k_lag_1,268.90441703796387,30
sj,broad_weather_l1_log,reanalysis_avg_temp_k_rolling_8_mean,268.1864585876465,28
sj,broad_weather_l1_log,station_avg_temp_c_rolling_4_mean,265.7354989051819,33
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_lag_10,259.29678106307983,26
sj,broad_weather_l1_log,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,259.1993284225464,22
sj,broad_weather_l1_log,reanalysis_air_temp_k_rolling_12_mean,258.7640805244446,24
sj,broad_weather_l1_log,station_avg_temp_c_lag_4,258.11896085739136,31
sj,broad_weather_l1_log,reanalysis_min_air_temp_k_lag_5,255.28144025802612,29
