candidate,candidate_label,uses_weather,city,validation_year,train_rows,validation_rows,feature_count,mae
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1992,87,52,2,20.23076923076923
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1992,87,52,125,19.01923076923077
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1992,87,52,127,18.576923076923077
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1993,139,52,2,15.576923076923077
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1993,139,52,125,19.807692307692307
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1993,139,52,127,16.942307692307693
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1994,191,52,2,96.38461538461539
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1994,191,52,125,86.03846153846153
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1994,191,52,127,92.84615384615384
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1995,243,52,2,19.576923076923077
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1995,243,52,125,30.0
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1995,243,52,127,22.96153846153846
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1996,295,52,2,14.461538461538462
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1996,295,52,125,14.365384615384615
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1996,295,52,127,14.23076923076923
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1997,347,52,2,9.192307692307692
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1997,347,52,125,10.576923076923077
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1997,347,52,127,8.923076923076923
calendar_l1_raw,Calendar-only L1 baseline,False,sj,1998,399,52,2,61.40384615384615
broad_weather_l1_log,Broad weather L1 model with log1p target,True,sj,1998,399,52,125,62.0
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,sj,1998,399,52,127,61.57692307692308
