city,scenario,fold,rows,train_rows,test_rows,roc_auc,average_precision,balanced_accuracy,log_loss
iq,weather_only,1,136,104,32,0.7836538461538463,0.9258777774729101,0.6670673076923077,0.48041631651847055
iq,weather_only,2,135,104,31,0.7174317617866004,0.9016164561107309,0.5956885856079405,0.5360582585228987
iq,weather_only,3,135,104,31,0.6693548387096775,0.8851937436366683,0.5716501240694789,0.5955815751976875
iq,weather_only,4,135,104,31,0.7571339950372209,0.9025629976755218,0.6341501240694789,0.4789617661733511
iq,weather_only,5,135,104,31,0.7695409429280398,0.8971853772434991,0.6972704714640199,0.4914965574724366
iq,weather_plus_seasonality,1,136,104,32,0.7884615384615384,0.9239286295903714,0.6670673076923077,0.4701568832867591
iq,weather_plus_seasonality,2,135,104,31,0.7168114143920595,0.899065773165494,0.5891749379652605,0.5310927404597366
iq,weather_plus_seasonality,3,135,104,31,0.6535359801488834,0.869818938625444,0.5925868486352357,0.6139296690436506
iq,weather_plus_seasonality,4,135,104,31,0.7683002481389578,0.912784669705834,0.6437655086848635,0.47313976871077185
iq,weather_plus_seasonality,5,135,104,31,0.777605459057072,0.8907975129912865,0.6553970223325062,0.4910946228023048
sj,weather_only,1,240,188,52,0.8659983633387889,0.9592491322474727,0.7465220949263502,0.37822227321849494
sj,weather_only,2,239,187,52,0.8491361579596874,0.951684222462273,0.740333196215549,0.3878226480308376
sj,weather_only,3,239,187,52,0.8875976964212258,0.9679777214722639,0.7723673385438092,0.3469928906599599
sj,weather_only,4,239,187,52,0.8626079802550392,0.9581086065129447,0.7146750308515015,0.3892909775653115
sj,weather_only,5,239,187,52,0.8776223776223777,0.9636665753899372,0.770773344302756,0.3556518476364446
sj,weather_plus_seasonality,1,240,188,52,0.8653846153846154,0.9576594641184233,0.7630932896890343,0.38319126508190976
sj,weather_plus_seasonality,2,239,187,52,0.8447141094199918,0.9490414352769115,0.7307178116001645,0.3977782484697937
sj,weather_plus_seasonality,3,239,187,52,0.895104895104895,0.9708091186511132,0.7654257507198683,0.3361489758457526
sj,weather_plus_seasonality,4,239,187,52,0.8648704236939531,0.9574169693587349,0.7611579596873714,0.384202341857612
sj,weather_plus_seasonality,5,239,187,52,0.8877005347593583,0.9669229669860082,0.7830625257095846,0.34648555699109823
