city,transform,feature_group,feature,generated_feature,parameter_weeks,source_analysis_type,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr
iq,raw,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k,0,lag,0.2291831871266377,0.2291831871266377,0.2291831871266377,1.0,0.15,0.2177240277703058
iq,raw,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k,0,lag,0.21167882246833372,0.21167882246833372,0.21167882246833372,1.0,0.15,0.20109488134491701
iq,raw,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg,0,lag,0.2352176889087021,0.2352176889087021,0.2352176889087021,1.0,0.15,0.223456804463267
iq,raw,station,station_min_temp_c,station_min_temp_c,0,lag,0.20681680955730247,0.20681680955730247,0.20852224514190307,0.9918213254253041,0.15,0.1980961328848079
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_11,11,lag,0.15533944528750926,0.15533944528750926,0.15533944528750926,1.0,0.15,0.15
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_7,7,lag,0.15091731762196117,0.15091731762196117,0.15091731762196117,1.0,0.15,0.15
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_1,1,lag,0.22098060092872282,0.22098060092872282,0.2291831871266377,0.9642094767039675,0.15,0.2177240277703058
iq,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_2,2,lag,0.20517266044878557,0.20517266044878557,0.21167882246833372,0.96926399181703,0.15,0.20109488134491701
iq,lag,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag_1,1,lag,0.22611397462429728,0.22611397462429728,0.2352176889087021,0.9612966425839753,0.15,0.223456804463267
iq,lag,station,station_avg_temp_c,station_avg_temp_c_lag_4,4,lag,0.15602930469583864,0.15602930469583864,0.15602930469583864,1.0,0.15,0.15
iq,lag,station,station_avg_temp_c,station_avg_temp_c_lag_5,5,lag,0.15359897036935447,0.15359897036935447,0.15602930469583864,0.9844238597920959,0.15,0.15
iq,lag,station,station_max_temp_c,station_max_temp_c_lag_6,6,lag,0.15954060724165087,0.15954060724165087,0.15954060724165087,1.0,0.15,0.1515635768795683
iq,lag,station,station_min_temp_c,station_min_temp_c_lag_1,1,lag,0.20852224514190307,0.20852224514190307,0.20852224514190307,1.0,0.15,0.1980961328848079
iq,rolling_mean,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,rolling,0.16104470314736502,0.16104470314736502,0.16104470314736502,1.0,0.15,0.15299246798999677
iq,rolling_mean,ndvi,ndvi_sw,ndvi_sw_rolling_13_mean,13,rolling,0.15534573918698116,0.15534573918698116,0.16243491656597747,0.9563568133695144,0.15,0.15431317073767858
iq,rolling_mean,ndvi,ndvi_sw,ndvi_sw_rolling_14_mean,14,rolling,0.16243491656597747,0.16243491656597747,0.16243491656597747,1.0,0.15,0.15431317073767858
iq,rolling_mean,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_6_mean,6,rolling,0.15794083774757237,0.15794083774757237,0.16137445854170065,0.978722650256075,0.15,0.1533057356146156
iq,rolling_mean,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_7_mean,7,rolling,0.16137445854170065,0.16137445854170065,0.16137445854170065,1.0,0.15,0.1533057356146156
iq,rolling_mean,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_12_mean,12,rolling,0.19564543201603513,0.19564543201603513,0.19786936025777102,0.9887606234798622,0.15,0.18797589224488245
iq,rolling_mean,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_13_mean,13,rolling,0.19751727062764216,0.19751727062764216,0.19786936025777102,0.9982205954996257,0.15,0.18797589224488245
