city,analysis_type,feature_group,feature,generated_feature,parameter_weeks,n_pairs,pearson_corr,abs_pearson_corr
iq,lag,ndvi,ndvi_ne,ndvi_ne,0,520,0.020794214858999096,0.020794214858999096
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_1,1,519,-0.014680727828051507,0.014680727828051507
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_2,2,518,-0.02799935065378388,0.02799935065378388
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_3,3,517,-0.010216646160998226,0.010216646160998226
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_4,4,516,0.07839605355389359,0.07839605355389359
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_5,5,515,0.06712839734177445,0.06712839734177445
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_6,6,514,0.0417679246538817,0.0417679246538817
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_7,7,513,0.05704246858953876,0.05704246858953876
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_8,8,512,0.0828491456186332,0.0828491456186332
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_9,9,511,0.07203760255928156,0.07203760255928156
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_10,10,510,0.08072040293232205,0.08072040293232205
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_11,11,509,0.1340529161046642,0.1340529161046642
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_12,12,508,0.07584794678774609,0.07584794678774609
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_13,13,507,0.06074540583954921,0.06074540583954921
iq,lag,ndvi,ndvi_ne,ndvi_ne_lag_14,14,506,0.09780796889744683,0.09780796889744683
iq,rolling,ndvi,ndvi_ne,ndvi_ne,1,520,0.020794214858999096,0.020794214858999096
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_2_mean,2,520,0.004810670839337088,0.004810670839337088
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_3_mean,3,520,-0.009698126802790547,0.009698126802790547
