city,feature_group,feature,lag_weeks,n_pairs,pearson_corr,abs_pearson_corr
iq,ndvi,ndvi_ne,0,520,0.020794214858999096,0.020794214858999096
iq,ndvi,ndvi_ne,1,519,-0.014680727828051507,0.014680727828051507
iq,ndvi,ndvi_ne,2,518,-0.02799935065378388,0.02799935065378388
iq,ndvi,ndvi_ne,3,517,-0.010216646160998226,0.010216646160998226
iq,ndvi,ndvi_ne,4,516,0.07839605355389359,0.07839605355389359
iq,ndvi,ndvi_ne,5,515,0.06712839734177445,0.06712839734177445
iq,ndvi,ndvi_ne,6,514,0.0417679246538817,0.0417679246538817
iq,ndvi,ndvi_ne,7,513,0.05704246858953876,0.05704246858953876
iq,ndvi,ndvi_ne,8,512,0.0828491456186332,0.0828491456186332
iq,ndvi,ndvi_ne,9,511,0.07203760255928156,0.07203760255928156
iq,ndvi,ndvi_ne,10,510,0.08072040293232205,0.08072040293232205
iq,ndvi,ndvi_ne,11,509,0.1340529161046642,0.1340529161046642
iq,ndvi,ndvi_ne,12,508,0.07584794678774609,0.07584794678774609
iq,ndvi,ndvi_ne,13,507,0.06074540583954921,0.06074540583954921
iq,ndvi,ndvi_ne,14,506,0.09780796889744683,0.09780796889744683
iq,ndvi,ndvi_nw,0,520,-0.009951604647600042,0.009951604647600042
iq,ndvi,ndvi_nw,1,519,-0.04154506177707793,0.04154506177707793
iq,ndvi,ndvi_nw,2,518,-0.041887841002410414,0.041887841002410414
iq,ndvi,ndvi_nw,3,517,-0.005401447476974934,0.005401447476974934
iq,ndvi,ndvi_nw,4,516,0.07353562154659479,0.07353562154659479
iq,ndvi,ndvi_nw,5,515,0.07358246323814688,0.07358246323814688
iq,ndvi,ndvi_nw,6,514,0.06625482487857448,0.06625482487857448
iq,ndvi,ndvi_nw,7,513,0.05476764435976622,0.05476764435976622
iq,ndvi,ndvi_nw,8,512,0.0894780980304253,0.0894780980304253
iq,ndvi,ndvi_nw,9,511,0.07292870570231483,0.07292870570231483
iq,ndvi,ndvi_nw,10,510,0.11282822580879515,0.11282822580879515
iq,ndvi,ndvi_nw,11,509,0.14228309912255654,0.14228309912255654
iq,ndvi,ndvi_nw,12,508,0.08948946079702838,0.08948946079702838
iq,ndvi,ndvi_nw,13,507,0.10336696321798979,0.10336696321798979
iq,ndvi,ndvi_nw,14,506,0.1176997682279979,0.1176997682279979
iq,ndvi,ndvi_se,0,520,-0.040642556814237715,0.040642556814237715
iq,ndvi,ndvi_se,1,519,-0.08201306395352972,0.08201306395352972
iq,ndvi,ndvi_se,2,518,-0.07224714564964956,0.07224714564964956
iq,ndvi,ndvi_se,3,517,-0.05642829317319049,0.05642829317319049
iq,ndvi,ndvi_se,4,516,0.004072826225155578,0.004072826225155578
iq,ndvi,ndvi_se,5,515,0.011007727294411332,0.011007727294411332
iq,ndvi,ndvi_se,6,514,0.019020706142584234,0.019020706142584234
iq,ndvi,ndvi_se,7,513,0.05962497692481965,0.05962497692481965
iq,ndvi,ndvi_se,8,512,0.06840803485535626,0.06840803485535626
iq,ndvi,ndvi_se,9,511,0.05309919623500236,0.05309919623500236
iq,ndvi,ndvi_se,10,510,0.028954155220069566,0.028954155220069566
iq,ndvi,ndvi_se,11,509,0.04886495244468532,0.04886495244468532
iq,ndvi,ndvi_se,12,508,0.03756625938978584,0.03756625938978584
iq,ndvi,ndvi_se,13,507,0.05083819387059117,0.05083819387059117
iq,ndvi,ndvi_se,14,506,0.09332657566531016,0.09332657566531016
iq,ndvi,ndvi_sw,0,520,0.03281197199304055,0.03281197199304055
iq,ndvi,ndvi_sw,1,519,-0.017278741795030653,0.017278741795030653
iq,ndvi,ndvi_sw,2,518,-0.017795238274969625,0.017795238274969625
iq,ndvi,ndvi_sw,3,517,-0.011953031880480424,0.011953031880480424
iq,ndvi,ndvi_sw,4,516,0.07459351576850322,0.07459351576850322
iq,ndvi,ndvi_sw,5,515,0.061451442369444643,0.061451442369444643
iq,ndvi,ndvi_sw,6,514,0.04528696149015322,0.04528696149015322
iq,ndvi,ndvi_sw,7,513,0.05380052739980338,0.05380052739980338
iq,ndvi,ndvi_sw,8,512,0.09200628502616441,0.09200628502616441
iq,ndvi,ndvi_sw,9,511,0.09295089133972734,0.09295089133972734
iq,ndvi,ndvi_sw,10,510,0.10262081063965438,0.10262081063965438
iq,ndvi,ndvi_sw,11,509,0.15533944528750926,0.15533944528750926
iq,ndvi,ndvi_sw,12,508,0.11340863948325777,0.11340863948325777
iq,ndvi,ndvi_sw,13,507,0.07730726373415348,0.07730726373415348
iq,ndvi,ndvi_sw,14,506,0.10621733126396084,0.10621733126396084
