city,lag_weeks,n_pairs,pearson_corr,abs_pearson_corr
iq,1,519,0.747083951484919,0.747083951484919
iq,2,518,0.5849536920107113,0.5849536920107113
iq,3,517,0.5460209793539249,0.5460209793539249
iq,4,516,0.4896725461251636,0.4896725461251636
iq,5,515,0.36582509508700994,0.36582509508700994
iq,6,514,0.2853517997716149,0.2853517997716149
iq,7,513,0.26224023713935884,0.26224023713935884
iq,8,512,0.2053412725676365,0.2053412725676365
iq,9,511,0.15358752358224853,0.15358752358224853
iq,10,510,0.11873481126090711,0.11873481126090711
iq,11,509,0.09979005938589273,0.09979005938589273
iq,12,508,0.08329334187132065,0.08329334187132065
iq,13,507,0.0830243714027826,0.0830243714027826
iq,14,506,0.06415391828417626,0.06415391828417626
sj,1,935,0.9648156532418691,0.9648156532418691
sj,2,934,0.9200280334349321,0.9200280334349321
sj,3,933,0.8678563334616213,0.8678563334616213
sj,4,932,0.8141837443929425,0.8141837443929425
sj,5,931,0.7554499381227912,0.7554499381227912
sj,6,930,0.6901177107702161,0.6901177107702161
sj,7,929,0.6222660289266236,0.6222660289266236
sj,8,928,0.5531557527465735,0.5531557527465735
sj,9,927,0.478586235538489,0.478586235538489
sj,10,926,0.40959227364441614,0.40959227364441614
sj,11,925,0.343303385635666,0.343303385635666
sj,12,924,0.28405891380946013,0.28405891380946013
sj,13,923,0.23285224943845012,0.23285224943845012
sj,14,922,0.18830364500937094,0.18830364500937094
