city,feature_group,feature,lag_weeks,n_pairs,pearson_corr,abs_pearson_corr
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,0,520,0.2352176889087021,0.2352176889087021
iq,reanalysis,reanalysis_dew_point_temp_k,0,520,0.2291831871266377,0.2291831871266377
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,1,519,0.22611397462429728,0.22611397462429728
iq,reanalysis,reanalysis_dew_point_temp_k,1,519,0.22098060092872282,0.22098060092872282
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,2,518,0.2205830344758139,0.2205830344758139
iq,reanalysis,reanalysis_dew_point_temp_k,2,518,0.2149786550684159,0.2149786550684159
iq,reanalysis,reanalysis_min_air_temp_k,0,520,0.21167882246833372,0.21167882246833372
iq,station,station_min_temp_c,1,519,0.20852224514190307,0.20852224514190307
iq,station,station_min_temp_c,0,520,0.20681680955730247,0.20681680955730247
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,3,517,0.20612663294602698,0.20612663294602698
iq,reanalysis,reanalysis_min_air_temp_k,2,518,0.20517266044878557,0.20517266044878557
iq,reanalysis,reanalysis_dew_point_temp_k,3,517,0.20016558053204248,0.20016558053204248
iq,station,station_min_temp_c,2,518,0.19371945325151765,0.19371945325151765
iq,reanalysis,reanalysis_min_air_temp_k,5,515,0.19169012017067136,0.19169012017067136
iq,reanalysis,reanalysis_min_air_temp_k,3,517,0.19144434025411244,0.19144434025411244
iq,reanalysis,reanalysis_min_air_temp_k,1,519,0.18887069330711234,0.18887069330711234
iq,reanalysis,reanalysis_min_air_temp_k,4,516,0.18416867285617167,0.18416867285617167
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,5,515,0.18325621023983407,0.18325621023983407
iq,reanalysis,reanalysis_dew_point_temp_k,5,515,0.1777664366914965,0.1777664366914965
iq,station,station_min_temp_c,3,517,0.17723288274062557,0.17723288274062557
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,4,516,0.16606608724147348,0.16606608724147348
iq,reanalysis,reanalysis_dew_point_temp_k,4,516,0.1616092091927598,0.1616092091927598
iq,station,station_max_temp_c,6,514,0.15954060724165087,0.15954060724165087
iq,reanalysis,reanalysis_min_air_temp_k,6,514,0.15898802723299277,0.15898802723299277
iq,station,station_avg_temp_c,4,516,0.15602930469583864,0.15602930469583864
sj,station,station_avg_temp_c,10,926,0.3692731089558227,0.3692731089558227
sj,station,station_avg_temp_c,9,927,0.36738031344006805,0.36738031344006805
sj,station,station_avg_temp_c,11,925,0.36469723465381154,0.36469723465381154
sj,station,station_avg_temp_c,8,928,0.3640935401146844,0.3640935401146844
sj,station,station_min_temp_c,10,926,0.3622973267301657,0.3622973267301657
sj,station,station_min_temp_c,9,927,0.35907397765409044,0.35907397765409044
sj,station,station_avg_temp_c,12,924,0.358498399121943,0.358498399121943
sj,station,station_avg_temp_c,7,929,0.35630398492507204,0.35630398492507204
sj,station,station_min_temp_c,11,925,0.35315025439135894,0.35315025439135894
sj,station,station_min_temp_c,8,928,0.3526085091410281,0.3526085091410281
sj,station,station_min_temp_c,7,929,0.34659192964716545,0.34659192964716545
sj,station,station_avg_temp_c,6,930,0.3433758340952956,0.3433758340952956
sj,station,station_min_temp_c,12,924,0.3422475088630599,0.3422475088630599
sj,station,station_avg_temp_c,13,923,0.3417921300434437,0.3417921300434437
sj,station,station_min_temp_c,6,930,0.3368454378657377,0.3368454378657377
sj,station,station_avg_temp_c,5,931,0.32882377486383696,0.32882377486383696
sj,station,station_min_temp_c,13,923,0.32374767289480266,0.32374767289480266
sj,station,station_avg_temp_c,14,922,0.3236255905698007,0.3236255905698007
sj,station,station_min_temp_c,5,931,0.3211012694547576,0.3211012694547576
sj,station,station_max_temp_c,11,925,0.3163321360180571,0.3163321360180571
sj,station,station_max_temp_c,12,924,0.3155627888199805,0.3155627888199805
sj,station,station_max_temp_c,10,926,0.3118273526828216,0.3118273526828216
sj,station,station_max_temp_c,8,928,0.3096770904638441,0.3096770904638441
sj,station,station_max_temp_c,9,927,0.3073877832403505,0.3073877832403505
sj,station,station_avg_temp_c,4,932,0.30538940391292535,0.30538940391292535
