city,feature_group,feature,best_lag_months,best_n_pairs,best_pearson_corr,best_abs_pearson_corr,lag0_pearson_corr,lag0_abs_pearson_corr,abs_corr_gain_over_lag0
iq,station,station_avg_temp_c,6,114,-0.3577403712824715,0.3577403712824715,0.21642068343024518,0.21642068343024518,0.14131968785222632
iq,station,station_max_temp_c,7,113,-0.350736182885608,0.350736182885608,0.08553486912613746,0.08553486912613746,0.26520131375947054
iq,reanalysis,reanalysis_min_air_temp_k,11,109,0.34611575454465987,0.34611575454465987,0.3178113775304407,0.3178113775304407,0.028304377014219173
iq,ndvi,ndvi_sw,13,107,0.3451250232040823,0.3451250232040823,-0.030257090856708184,0.030257090856708184,0.3148679323473741
iq,station,station_min_temp_c,11,109,0.3380072947081035,0.3380072947081035,0.3289818675986162,0.3289818675986162,0.009025427109487283
iq,ndvi,ndvi_se,8,112,-0.33352843664634374,0.33352843664634374,-0.08963435191507008,0.08963435191507008,0.24389408473127366
iq,reanalysis,reanalysis_max_air_temp_k,8,112,-0.3280196920789278,0.3280196920789278,-0.0882848547064138,0.0882848547064138,0.239734837372514
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,12,108,0.327178489613505,0.327178489613505,0.32576031783270437,0.32576031783270437,0.0014181717808006145
iq,reanalysis,reanalysis_dew_point_temp_k,12,108,0.32162171836521364,0.32162171836521364,0.32083696136595047,0.32083696136595047,0.0007847569992631698
iq,station,station_diur_temp_rng_c,7,113,-0.3189070331729642,0.3189070331729642,-0.0822129387110199,0.0822129387110199,0.2366940944619443
iq,reanalysis,reanalysis_avg_temp_k,14,106,0.31479630521620233,0.31479630521620233,0.11638831422100099,0.11638831422100099,0.19840799099520134
iq,reanalysis,reanalysis_air_temp_k,14,106,0.31424597905122464,0.31424597905122464,0.13601235493013167,0.13601235493013167,0.17823362412109298
iq,reanalysis,reanalysis_tdtr_k,9,111,-0.31312717979895116,0.31312717979895116,-0.1882131567119071,0.1882131567119071,0.12491402308704405
iq,reanalysis,reanalysis_precip_amt_kg_per_m2,12,108,0.29608320470746596,0.29608320470746596,0.16328118126690583,0.16328118126690583,0.13280202344056014
iq,reanalysis,reanalysis_relative_humidity_percent,9,111,0.2835096937162177,0.2835096937162177,0.19035074464833973,0.19035074464833973,0.09315894906787797
iq,precipitation,precipitation_amt_mm,10,110,0.2768616129573283,0.2768616129573283,0.18743593479444773,0.18743593479444773,0.08942567816288058
