feature,monthly_aggregation,missing_before,missing_after
ndvi_ne,mean,194,0
ndvi_nw,mean,52,0
ndvi_se,mean,22,0
ndvi_sw,mean,22,0
precipitation_amt_mm,sum,13,0
reanalysis_air_temp_k,mean,10,0
reanalysis_avg_temp_k,mean,10,0
reanalysis_dew_point_temp_k,mean,10,0
reanalysis_max_air_temp_k,mean,10,0
reanalysis_min_air_temp_k,mean,10,0
reanalysis_precip_amt_kg_per_m2,sum,10,0
reanalysis_relative_humidity_percent,mean,10,0
reanalysis_sat_precip_amt_mm,sum,13,0
reanalysis_specific_humidity_g_per_kg,mean,10,0
reanalysis_tdtr_k,mean,10,0
station_avg_temp_c,mean,43,0
station_diur_temp_rng_c,mean,43,0
station_max_temp_c,mean,20,0
station_min_temp_c,mean,14,0
station_precip_mm,sum,22,0
