city,lag_months,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,features_at_or_above_threshold,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,0,20,0.16338180422984588,0.1555082843411545,0.3289818675986162,13,station_min_temp_c,0.3289818675986162,0.3289818675986162
iq,1,20,0.14168102643395933,0.14379420754628597,0.271691123464082,14,reanalysis_min_air_temp_k,0.271691123464082,0.271691123464082
iq,2,20,0.11908085625729323,0.15107294104947963,0.18601855028196568,12,reanalysis_avg_temp_k,0.18601855028196568,0.18601855028196568
iq,3,20,0.09391576015804227,0.09087475770687502,0.2263391499745082,10,ndvi_sw,0.2263391499745082,0.2263391499745082
iq,4,20,0.15070564775494993,0.15858893212201466,0.24058343773683738,16,station_min_temp_c,-0.24058343773683738,0.24058343773683738
iq,5,20,0.1465896198351905,0.1433726322135097,0.3155553454552242,11,station_min_temp_c,-0.3155553454552242,0.3155553454552242
iq,6,20,0.14306947235119877,0.1551668202341785,0.3577403712824715,13,station_avg_temp_c,-0.3577403712824715,0.3577403712824715
iq,7,20,0.16485943448873452,0.15496225734685576,0.3564799771878972,14,station_avg_temp_c,-0.3564799771878972,0.3564799771878972
iq,8,20,0.17065955225201937,0.1742316089032877,0.33352843664634374,12,ndvi_se,-0.33352843664634374,0.33352843664634374
iq,9,20,0.19453599515337716,0.1990013520328843,0.31312717979895116,18,reanalysis_tdtr_k,-0.31312717979895116,0.31312717979895116
iq,10,20,0.19874599272713106,0.24470447808979534,0.29869254841103465,16,reanalysis_tdtr_k,-0.29869254841103465,0.29869254841103465
iq,11,20,0.18137067089829104,0.18417118018144502,0.34611575454465987,14,reanalysis_min_air_temp_k,0.34611575454465987,0.34611575454465987
iq,12,20,0.2038087436722686,0.2010574644581552,0.3439515144294622,17,reanalysis_min_air_temp_k,0.3439515144294622,0.3439515144294622
iq,13,20,0.18350316541161882,0.20137712582321315,0.3451250232040823,16,ndvi_sw,0.3451250232040823,0.3451250232040823
iq,14,20,0.14971854205768736,0.14672606889191048,0.31479630521620233,14,reanalysis_avg_temp_k,0.31479630521620233,0.31479630521620233
sj,0,20,0.1535627978879772,0.1834678240530877,0.21875524771009777,16,reanalysis_specific_humidity_g_per_kg,0.21875524771009777,0.21875524771009777
sj,1,20,0.19557420967136424,0.19604230332320496,0.34709443656878014,14,station_min_temp_c,0.34709443656878014,0.34709443656878014
sj,2,20,0.19957721542060936,0.1732407158730514,0.39763335681266176,14,station_min_temp_c,0.39763335681266176,0.39763335681266176
sj,3,20,0.1774905462187226,0.17040595362534994,0.36434790060338695,12,station_avg_temp_c,0.36434790060338695,0.36434790060338695
sj,4,20,0.12223897243802587,0.12438186753866251,0.3091595846852114,13,station_max_temp_c,0.3091595846852114,0.3091595846852114
sj,5,20,0.08524107195301653,0.08021871257995784,0.22061329966706944,7,station_diur_temp_rng_c,0.22061329966706944,0.22061329966706944
sj,6,20,0.1477624962201038,0.16562158365941607,0.2572495301681578,14,station_diur_temp_rng_c,0.2572495301681578,0.2572495301681578
sj,7,20,0.22237429118057342,0.26156409639677886,0.33243990934186607,16,reanalysis_air_temp_k,-0.33243990934186607,0.33243990934186607
sj,8,20,0.24862960003570006,0.27676104611844665,0.359608366441468,17,reanalysis_max_air_temp_k,-0.359608366441468,0.359608366441468
sj,9,20,0.2091110177549989,0.2639793744185459,0.3113517480431185,17,station_min_temp_c,-0.3113517480431185,0.3113517480431185
sj,10,20,0.12283849192979227,0.1422835445497347,0.19715532503752695,14,precipitation_amt_mm,-0.19715532503752695,0.19715532503752695
sj,11,20,0.05316238135847654,0.047746332899842425,0.1977774924952343,1,reanalysis_tdtr_k,-0.1977774924952343,0.1977774924952343
sj,12,20,0.12662743755254774,0.15045780026244288,0.21193334986190648,12,reanalysis_precip_amt_kg_per_m2,0.21193334986190648,0.21193334986190648
sj,13,20,0.18065510959830774,0.2210357051288767,0.311029563170553,13,station_avg_temp_c,0.311029563170553,0.311029563170553
sj,14,20,0.1929362855857263,0.2150940195376876,0.36430691060597736,14,station_avg_temp_c,0.36430691060597736,0.36430691060597736
