city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,weekofyear_sin,weekofyear_cos,reanalysis_specific_humidity_g_per_kg_lag_1,reanalysis_specific_humidity_g_per_kg_lag_2,reanalysis_specific_humidity_g_per_kg_lag_3,reanalysis_specific_humidity_g_per_kg_lag_5,reanalysis_specific_humidity_g_per_kg_lag_6,reanalysis_specific_humidity_g_per_kg_lag_8,reanalysis_specific_humidity_g_per_kg_lag_10,reanalysis_specific_humidity_g_per_kg_lag_12,reanalysis_dew_point_temp_k_lag_1,reanalysis_dew_point_temp_k_lag_2,reanalysis_dew_point_temp_k_lag_3,reanalysis_dew_point_temp_k_lag_5,reanalysis_dew_point_temp_k_lag_6,reanalysis_dew_point_temp_k_lag_8,reanalysis_dew_point_temp_k_lag_10,reanalysis_dew_point_temp_k_lag_12,reanalysis_min_air_temp_k_lag_1,reanalysis_min_air_temp_k_lag_2,reanalysis_min_air_temp_k_lag_3,reanalysis_min_air_temp_k_lag_5,reanalysis_min_air_temp_k_lag_6,reanalysis_min_air_temp_k_lag_8,reanalysis_min_air_temp_k_lag_10,reanalysis_min_air_temp_k_lag_12,reanalysis_air_temp_k_lag_6,reanalysis_air_temp_k_lag_8,reanalysis_air_temp_k_lag_10,reanalysis_air_temp_k_lag_12,reanalysis_avg_temp_k_lag_6,reanalysis_avg_temp_k_lag_8,reanalysis_avg_temp_k_lag_10,reanalysis_avg_temp_k_lag_12,reanalysis_max_air_temp_k_lag_6,reanalysis_max_air_temp_k_lag_8,reanalysis_max_air_temp_k_lag_10,reanalysis_max_air_temp_k_lag_12,station_avg_temp_c_lag_2,station_avg_temp_c_lag_4,station_avg_temp_c_lag_5,station_avg_temp_c_lag_6,station_avg_temp_c_lag_8,station_avg_temp_c_lag_10,station_avg_temp_c_lag_12,station_min_temp_c_lag_1,station_min_temp_c_lag_2,station_min_temp_c_lag_3,station_min_temp_c_lag_4,station_min_temp_c_lag_6,station_min_temp_c_lag_8,station_min_temp_c_lag_10,station_min_temp_c_lag_12,station_max_temp_c_lag_4,station_max_temp_c_lag_6,station_max_temp_c_lag_8,station_max_temp_c_lag_10,station_max_temp_c_lag_12,ndvi_sw_lag_10,ndvi_sw_lag_11,ndvi_sw_lag_14,ndvi_nw_lag_10,ndvi_nw_lag_11,ndvi_nw_lag_14,precipitation_amt_mm_lag_2,precipitation_amt_mm_lag_3,reanalysis_sat_precip_amt_mm_lag_2,reanalysis_sat_precip_amt_mm_lag_3,reanalysis_specific_humidity_g_per_kg_lag_0_3_mean,reanalysis_specific_humidity_g_per_kg_lag_1_3_mean,reanalysis_specific_humidity_g_per_kg_lag_5_8_mean,reanalysis_specific_humidity_g_per_kg_lag_7_10_mean,reanalysis_specific_humidity_g_per_kg_lag_9_12_mean,reanalysis_dew_point_temp_k_lag_0_3_mean,reanalysis_dew_point_temp_k_lag_1_3_mean,reanalysis_dew_point_temp_k_lag_5_8_mean,reanalysis_dew_point_temp_k_lag_7_10_mean,reanalysis_dew_point_temp_k_lag_9_12_mean,reanalysis_min_air_temp_k_lag_0_3_mean,reanalysis_min_air_temp_k_lag_1_3_mean,reanalysis_min_air_temp_k_lag_5_8_mean,reanalysis_min_air_temp_k_lag_7_10_mean,reanalysis_min_air_temp_k_lag_9_12_mean,station_avg_temp_c_lag_1_3_mean,station_avg_temp_c_lag_5_8_mean,station_avg_temp_c_lag_7_10_mean,station_avg_temp_c_lag_9_12_mean,station_min_temp_c_lag_1_3_mean,station_min_temp_c_lag_5_8_mean,station_min_temp_c_lag_7_10_mean,station_min_temp_c_lag_9_12_mean,station_max_temp_c_lag_5_8_mean,station_max_temp_c_lag_7_10_mean,station_max_temp_c_lag_9_12_mean,precipitation_amt_mm_lag_0_3_mean,precipitation_amt_mm_lag_1_3_mean,precipitation_amt_mm_lag_2_5_mean,reanalysis_sat_precip_amt_mm_lag_0_3_mean,reanalysis_sat_precip_amt_mm_lag_1_3_mean,reanalysis_sat_precip_amt_mm_lag_2_5_mean,total_cases_lag_1,total_cases_lag_2,total_cases_lag_3,total_cases_lag_4,total_cases_lag_8,total_cases_lag_12,total_cases_lag_1_2_mean,total_cases_lag_1_2_max,total_cases_lag_1_4_mean,total_cases_lag_1_4_max,total_cases_lag_1_8_mean,total_cases_lag_1_8_max
sj,1990,18,1990-04-30,0.1226,0.103725,0.1984833,0.1776167,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32.0,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,4.0,0.8229838658936565,-0.5680647467311557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0128571429,,,,,292.414285714,,,,,295.9,,,,,,,,,,,,,,,,12.42,,,12.42,,,,,,,,,,,,,,
sj,1990,19,1990-05-07,0.1699,0.142175,0.1623571,0.1554857,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,5.0,0.7485107481711013,-0.6631226582407951,14.0128571429,,,,,,,,292.414285714,,,,,,,,295.9,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,14.6928571429,14.0128571429,,,,293.1828571425,292.414285714,,,,296.15,295.9,,,,25.4428571429,,,,20.0,,,,,,,17.62,12.42,,17.62,12.42,,4.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,4.0,0.6631226582407952,-0.7485107481711012,15.3728571429,14.0128571429,,,,,,,293.951428571,292.414285714,,,,,,,296.4,295.9,,,,,,,,,,,,,,,,,,,25.4428571429,,,,,,,22.2,20.0,,,,,,,,,,,,,,,,,,12.42,,12.42,,15.411428571466667,14.6928571429,,,,293.933333333,293.1828571425,,,,296.5333333333333,296.15,,,,26.0785714286,,,,21.1,,,,,,,23.26,17.62,12.42,23.26,17.62,12.42,5.0,4.0,,,,,4.5,5.0,4.5,5.0,4.5,5.0
sj,1990,21,1990-05-21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.987142857,299.228571429,295.31,301.4,297.0,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4.0,3.0,0.5680647467311558,-0.8229838658936564,16.8485714286,15.3728571429,14.0128571429,,,,,,295.434285714,293.951428571,292.414285714,,,,,,297.3,296.4,295.9,,,,,,,,,,,,,,,,,,26.7142857143,,,,,,,22.8,22.2,20.0,,,,,,,,,,,,,,,,,22.82,12.42,22.82,12.42,15.726785714325,15.411428571466667,,,,294.27749999975003,293.933333333,,,,296.65,296.5333333333333,,,,26.2904761905,,,,21.666666666666668,,,,,,,21.285,23.26,17.62,21.285,23.26,17.62,4.0,5.0,4.0,,,,4.5,5.0,4.333333333333333,5.0,4.333333333333333,5.0
sj,1990,22,1990-05-28,0.1962,0.2622,0.2512,0.24734,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,6.0,0.46472317204376906,-0.8854560256532096,16.6728571429,16.8485714286,15.3728571429,,,,,,295.31,295.434285714,293.951428571,,,,,,297.0,297.3,296.4,,,,,,,,,,,,,,,,,,26.7142857143,25.4428571429,,,,,,23.3,22.8,22.2,20.0,,,,,29.4,,,,,,,,,,,34.54,22.82,34.54,22.82,16.526071428599998,16.29809523813333,,,,295.129285714,294.89857142833336,,,,297.05,296.90000000000003,,,,26.96666666666667,,,,22.766666666666666,,,,,,,20.06,24.24,23.26,20.06,24.24,23.26,3.0,4.0,5.0,4.0,,,3.5,4.0,4.0,5.0,4.0,5.0
sj,1990,23,1990-06-04,0.15455000000000002,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2.0,0.35460488704253584,-0.9350162426854147,17.21,16.6728571429,16.8485714286,14.0128571429,,,,,295.821428571,295.31,295.434285714,292.414285714,,,,,297.5,297.0,297.3,295.9,,,,,,,,,,,,,,,,,27.4714285714,26.7142857143,25.4428571429,,,,,23.9,23.3,22.8,22.2,,,,,31.7,,,,,,,,,,,15.36,34.54,15.36,34.54,16.9860714286,16.910476190500003,14.0128571429,,,295.604285714,295.5219047616667,292.414285714,,,297.475,297.26666666666665,295.9,,,27.709523809533334,25.4428571429,,,23.333333333333332,20.0,,,29.4,,,16.75,19.14,21.285,16.75,19.14,21.285,6.0,3.0,4.0,5.0,,,4.5,6.0,4.5,6.0,4.4,6.0
sj,1990,24,1990-06-11,0.1129,0.0928,0.2050714,0.2102714,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82.0,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,4.0,0.23931566428755768,-0.970941817426052,17.2128571429,17.21,16.6728571429,15.3728571429,14.0128571429,,,,295.851428571,295.821428571,295.31,293.951428571,292.414285714,,,,298.1,297.5,297.0,296.4,295.9,,,,297.572857143,,,,297.742857143,,,,299.8,,,,28.9428571429,26.7142857143,26.7142857143,25.4428571429,,,,23.9,23.9,23.3,22.8,20.0,,,,32.2,29.4,,,,,,,,,,7.52,15.36,7.52,15.36,17.082500000025,17.031904761933333,14.6928571429,,,295.712142857,295.66095238066663,293.1828571425,,,297.57500000000005,297.53333333333336,296.15,,,28.176190476200002,26.0785714286,,,23.7,21.1,,,30.549999999999997,,,8.985,10.82,20.06,8.985,10.82,20.06,2.0,6.0,3.0,4.0,,,4.0,6.0,3.75,6.0,4.0,6.0
sj,1990,25,1990-06-18,0.0725,0.0725,0.1514714,0.1330286,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30.0,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,5.0,0.12053668025532308,-0.992708874098054,17.2342857143,17.2128571429,17.21,16.8485714286,15.3728571429,,,,295.865714286,295.851428571,295.821428571,295.434285714,293.951428571,,,,297.7,298.1,297.5,297.3,296.4,,,,298.211428571,,,,298.442857143,,,,300.9,,,,28.1142857143,27.4714285714,26.7142857143,26.7142857143,,,,23.3,23.9,23.9,23.3,22.2,,,,33.3,31.7,,,,,,,,,,9.58,7.52,9.58,7.52,17.408571428575,17.219047619066668,15.411428571466667,14.0128571429,,296.01749999975,295.846190476,293.933333333,292.414285714,,297.925,297.7666666666667,296.5333333333333,295.9,,28.157142857166665,26.2904761905,25.4428571429,,23.7,21.666666666666668,20.0,,31.099999999999998,29.4,,42.925,6.859999999999999,16.75,42.925,6.859999999999999,16.75,4.0,2.0,6.0,3.0,,,3.0,4.0,3.75,6.0,4.0,6.0
sj,1990,26,1990-06-25,0.10245,0.146175,0.1255714,0.1236,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,10.0,-3.216245299353273e-16,-1.0,17.9771428571,17.2342857143,17.2128571429,16.6728571429,16.8485714286,14.0128571429,,,296.531428571,295.865714286,295.851428571,295.31,295.434285714,292.414285714,,,298.4,297.7,298.1,297.0,297.3,295.9,,,298.781428571,297.572857143,,,298.878571429,297.742857143,,,300.5,299.8,,,27.4142857143,28.9428571429,27.4714285714,26.7142857143,25.4428571429,,,22.8,23.3,23.9,23.9,22.8,20.0,,,35.0,32.2,29.4,,,,,,,,,3.48,9.58,3.48,9.58,17.553571428574998,17.474761904766666,15.726785714325,14.6928571429,,296.15678571424996,296.0828571426666,294.27749999975003,293.1828571425,,297.975,298.06666666666666,296.65,296.15,,27.96666666666667,26.585714285725,26.0785714286,,23.333333333333332,22.075,21.1,,31.65,30.549999999999997,,45.87499999999999,54.72666666666667,8.985,45.87499999999999,54.72666666666667,8.985,5.0,4.0,2.0,6.0,4.0,,4.5,5.0,4.25,6.0,4.125,6.0
sj,1990,27,1990-07-02,0.1476625,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,6.0,-0.12053668025532283,-0.992708874098054,17.79,17.9771428571,17.2342857143,17.21,16.6728571429,15.3728571429,,,296.378571429,296.531428571,295.865714286,295.821428571,295.31,293.951428571,,,297.7,298.4,297.7,297.5,297.0,296.4,,,298.987142857,298.211428571,,,299.228571429,298.442857143,,,301.4,300.9,,,28.3714285714,28.1142857143,28.9428571429,27.4714285714,26.7142857143,,,22.8,22.8,23.3,23.9,23.3,22.2,,,34.4,33.3,31.7,,,,,,,,,151.12,3.48,151.12,3.48,17.7682142857,17.66714285713333,16.526071428599998,15.411428571466667,14.0128571429,296.35678571425,296.2585714286667,295.129285714,293.933333333,292.414285714,298.125,297.93333333333334,297.05,296.5333333333333,295.9,28.0380952381,27.460714285725,26.2904761905,25.4428571429,22.96666666666667,23.05,21.666666666666668,20.0,33.05,31.099999999999998,29.4,47.082499999999996,57.97333333333333,42.925,47.082499999999996,57.97333333333333,42.925,10.0,5.0,4.0,2.0,5.0,,7.5,10.0,5.25,10.0,4.875,10.0
