feature,missing_before,missing_after
ndvi_ne,237,0
ndvi_nw,63,0
ndvi_se,23,0
ndvi_sw,23,0
precipitation_amt_mm,15,0
reanalysis_air_temp_k,12,0
reanalysis_avg_temp_k,12,0
reanalysis_dew_point_temp_k,12,0
reanalysis_max_air_temp_k,12,0
reanalysis_min_air_temp_k,12,0
reanalysis_precip_amt_kg_per_m2,12,0
reanalysis_relative_humidity_percent,12,0
reanalysis_sat_precip_amt_mm,15,0
reanalysis_specific_humidity_g_per_kg,12,0
reanalysis_tdtr_k,12,0
station_avg_temp_c,55,0
station_diur_temp_rng_c,55,0
station_max_temp_c,23,0
station_min_temp_c,23,0
station_precip_mm,27,0
