city,loss,feature,importance_gain,importance_split
iq,l1,reanalysis_min_air_temp_k_rolling_5_mean,1235.0345993041992,103
iq,l1,reanalysis_specific_humidity_g_per_kg,1005.5065622329712,67
iq,l1,ndvi_sw_lag_14,1000.2252264022827,137
iq,l1,reanalysis_min_air_temp_k_rolling_8_mean,961.0213966369629,63
iq,l1,reanalysis_dew_point_temp_k,846.2791595458984,56
iq,l1,reanalysis_min_air_temp_k_rolling_7_mean,837.9819149971008,49
iq,l1,ndvi_nw_diff_14,802.4002466201782,95
iq,l1,reanalysis_precip_amt_kg_per_m2_diff_4,797.4918396472931,103
iq,l1,weekofyear_sin,787.0738399028778,97
iq,l1,reanalysis_min_air_temp_k_diff_1,783.5611827373505,105
iq,l1,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,745.1354596614838,68
iq,l1,ndvi_sw_lag_10,741.5219812393188,101
iq,l1,ndvi_nw_diff_11,678.8179411888123,80
iq,l1,reanalysis_precip_amt_kg_per_m2,674.2256107330322,84
iq,l1,precipitation_amt_mm_rolling_7_mean,659.2067506313324,83
iq,l1,ndvi_sw_diff_11,658.7289726734161,88
iq,l1,station_min_temp_c_rolling_6_mean,656.7993865013123,80
iq,l1,ndvi_nw_diff_10,647.3809967041016,80
iq,l1,ndvi_sw_diff_10,623.4038996696472,83
iq,l1,reanalysis_specific_humidity_g_per_kg_lag_5,561.5580697059631,72
iq,l1,weekofyear_cos,552.7553205490112,70
iq,l1,ndvi_nw_lag_14,528.8349707126617,73
iq,l1,ndvi_sw_lag_11,523.3634009361267,70
iq,l1,reanalysis_precip_amt_kg_per_m2_diff_1,521.6366906166077,73
iq,l1,precipitation_amt_mm_rolling_4_mean,520.9121108055115,66
iq,l1,reanalysis_min_air_temp_k_rolling_3_mean,516.4141316413879,63
iq,l1,reanalysis_min_air_temp_k_rolling_4_mean,508.5874590873718,64
iq,l1,precipitation_amt_mm_lag_3,501.2989583015442,68
iq,l1,ndvi_sw,482.40961027145386,68
iq,l1,ndvi_sw_diff_14,480.3910369873047,62
