city,loss,feature,importance_gain,importance_split
iq,l1,ndvi_sw_lag_14,1433.4142990112305,202
iq,l1,reanalysis_precip_amt_kg_per_m2,1106.854718208313,148
iq,l1,ndvi_sw_lag_10,1073.5838086605072,157
iq,l1,precipitation_amt_mm_rolling_7_mean,981.0049209594727,140
iq,l1,reanalysis_min_air_temp_k_rolling_7_mean,977.3186736106873,56
iq,l1,ndvi_nw_lag_14,956.6704590320587,138
iq,l1,ndvi_sw_lag_11,934.9240465164185,138
iq,l1,weekofyear_sin,928.8686442375183,122
iq,l1,station_min_temp_c,839.0321006774902,114
iq,l1,reanalysis_min_air_temp_k_lag_3,747.8388414382935,114
iq,l1,reanalysis_specific_humidity_g_per_kg_lag_5,728.082398891449,104
iq,l1,reanalysis_min_air_temp_k_lag_5,710.8626503944397,103
iq,l1,ndvi_nw,703.2747488021851,103
iq,l1,station_min_temp_c_rolling_6_mean,671.4409952163696,86
iq,l1,reanalysis_min_air_temp_k_lag_2,620.45871925354,89
iq,l1,ndvi_sw,615.0082359313965,97
iq,l1,reanalysis_min_air_temp_k_rolling_8_mean,607.6860382556915,54
iq,l1,ndvi_nw_lag_11,604.7088298797607,95
iq,l1,station_min_temp_c_lag_1,599.3437612056732,90
iq,l1,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,595.3996586799622,60
iq,l1,precipitation_amt_mm_lag_2,586.1897180080414,87
iq,l1,reanalysis_specific_humidity_g_per_kg_lag_2,577.4219608306885,81
iq,l1,station_min_temp_c_lag_3,569.8171598911285,80
iq,l1,ndvi_nw_lag_10,565.1303493976593,86
iq,l1,reanalysis_min_air_temp_k_rolling_5_mean,563.3922986984253,64
iq,l1,weekofyear_cos,555.6178977489471,80
iq,l1,station_min_temp_c_lag_2,551.7517213821411,83
iq,l1,precipitation_amt_mm_lag_3,544.3895201683044,85
iq,l1,precipitation_amt_mm_rolling_4_mean,534.7833399772644,84
iq,l1,reanalysis_min_air_temp_k_rolling_3_mean,531.9485805034637,73
iq,l1,reanalysis_min_air_temp_k_rolling_4_mean,472.4995610713959,65
iq,l1,precipitation_amt_mm,441.6294412612915,67
iq,l1,reanalysis_min_air_temp_k_lag_1,439.0660572052002,64
iq,l1,reanalysis_specific_humidity_g_per_kg_lag_1,427.2328112125397,63
iq,l1,station_min_temp_c_rolling_4_mean,422.360910654068,58
iq,l1,reanalysis_specific_humidity_g_per_kg_lag_3,404.65363073349,55
iq,l1,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,402.54921102523804,49
iq,l1,station_min_temp_c_rolling_5_mean,401.61978030204773,56
iq,l1,reanalysis_dew_point_temp_k_rolling_8_mean,400.5664999485016,49
