city,feature_group,feature,best_rolling_feature_name,best_window_weeks,best_n_pairs,best_pearson_corr,best_abs_pearson_corr,raw_pearson_corr,raw_abs_pearson_corr,abs_corr_gain_over_raw
iq,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_6_mean,6,520,0.2616343523579084,0.2616343523579084,0.21167882246833372,0.21167882246833372,0.04995552988957466
iq,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,4,520,0.2585068973007409,0.2585068973007409,0.2352176889087021,0.2352176889087021,0.023289208392038796
iq,station,station_min_temp_c,station_min_temp_c_rolling_4_mean,4,520,0.2575030662204318,0.2575030662204318,0.20681680955730247,0.20681680955730247,0.050686256663129314
iq,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_4_mean,4,520,0.2547988668827405,0.2547988668827405,0.2291831871266377,0.2291831871266377,0.025615679756102794
iq,station,station_avg_temp_c,station_avg_temp_c_rolling_10_mean,10,520,0.2251520121433191,0.2251520121433191,0.13398878511168885,0.13398878511168885,0.09116322703163024
iq,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,520,0.19786936025777102,0.19786936025777102,0.09632697466296965,0.09632697466296965,0.10154238559480137
iq,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,520,0.19255826370252366,0.19255826370252366,0.07951548718910911,0.07951548718910911,0.11304277651341454
iq,station,station_max_temp_c,station_max_temp_c_rolling_11_mean,11,520,0.1876290154494749,0.1876290154494749,0.07666467136361997,0.07666467136361997,0.11096434408585494
iq,ndvi,ndvi_sw,ndvi_sw_rolling_14_mean,14,520,0.16243491656597747,0.16243491656597747,0.03281197199304055,0.03281197199304055,0.12962294457293694
iq,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_7_mean,7,520,0.16137445854170065,0.16137445854170065,0.09062770970838817,0.09062770970838817,0.07074674883331249
iq,reanalysis,reanalysis_sat_precip_amt_mm,reanalysis_sat_precip_amt_mm_rolling_7_mean,7,520,0.16137445854170065,0.16137445854170065,0.09062770970838817,0.09062770970838817,0.07074674883331249
iq,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,520,0.16104470314736502,0.16104470314736502,-0.009951604647600042,0.009951604647600042,0.151093098499765
iq,station,station_precip_mm,station_precip_mm_rolling_6_mean,6,520,0.15678054874693392,0.15678054874693392,0.04456833676316207,0.04456833676316207,0.11221221198377185
iq,ndvi,ndvi_ne,ndvi_ne_rolling_14_mean,14,520,0.1461947749384213,0.1461947749384213,0.020794214858999096,0.020794214858999096,0.1254005600794222
iq,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_3_mean,3,520,0.14211632671314742,0.14211632671314742,0.1294858220711044,0.1294858220711044,0.012630504642043017
iq,reanalysis,reanalysis_tdtr_k,reanalysis_tdtr_k_rolling_3_mean,3,520,-0.13562678326414912,0.13562678326414912,-0.13219088266181492,0.13219088266181492,0.003435900602334202
iq,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_6_mean,6,520,0.13090767198256098,0.13090767198256098,0.10115047601006932,0.10115047601006932,0.029757195972491657
iq,ndvi,ndvi_se,ndvi_se_rolling_4_mean,4,520,-0.10682159648149675,0.10682159648149675,-0.040642556814237715,0.040642556814237715,0.06617903966725903
iq,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_14_mean,14,520,0.10079532809867565,0.10079532809867565,-0.0541751723626556,0.0541751723626556,0.046620155736020054
iq,station,station_diur_temp_rng_c,station_diur_temp_rng_c_rolling_12_mean,12,520,0.06675814821882348,0.06675814821882348,-0.036134198204686795,0.036134198204686795,0.030623950014136682
sj,station,station_min_temp_c,station_min_temp_c_rolling_14_mean,14,936,0.3949923294972017,0.3949923294972017,0.17524817336023485,0.17524817336023485,0.21974415613696685
sj,station,station_avg_temp_c,station_avg_temp_c_rolling_14_mean,14,936,0.38583343222279104,0.38583343222279104,0.19482282979430351,0.19482282979430351,0.19101060242848752
sj,station,station_max_temp_c,station_max_temp_c_rolling_14_mean,14,936,0.3810753476840157,0.3810753476840157,0.1884474927835803,0.1884474927835803,0.19262785490043538
sj,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_14_mean,14,936,0.3328728778814477,0.3328728778814477,0.18653857823918296,0.18653857823918296,0.14633429964226474
sj,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_14_mean,14,936,0.3317020633173035,0.3317020633173035,0.20280684863274848,0.20280684863274848,0.12889521468455503
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,14,936,0.3291767146411031,0.3291767146411031,0.20694226155744558,0.20694226155744558,0.12223445308365752
sj,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_14_mean,14,936,0.32295907131652524,0.32295907131652524,0.19323258403691576,0.19323258403691576,0.12972648727960948
sj,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,936,0.3090162049046079,0.3090162049046079,0.18031064573637723,0.18031064573637723,0.12870555916823068
sj,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,936,0.3070230247530729,0.3070230247530729,0.1736703346763381,0.1736703346763381,0.1333526900767348
sj,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_14_mean,14,936,0.2586429458997727,0.2586429458997727,0.1444042257378708,0.1444042257378708,0.11423872016190192
sj,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_9_mean,9,936,0.21473629833128174,0.21473629833128174,0.10693889686901666,0.10693889686901666,0.10779740146226509
sj,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_13_mean,13,936,0.1655710371089516,0.1655710371089516,0.06029554049239995,0.06029554049239995,0.10527549661655165
sj,reanalysis,reanalysis_sat_precip_amt_mm,reanalysis_sat_precip_amt_mm_rolling_13_mean,13,936,0.1655710371089516,0.1655710371089516,0.06029554049239995,0.06029554049239995,0.10527549661655165
sj,ndvi,ndvi_se,ndvi_se_rolling_14_mean,14,936,-0.15889249786127987,0.15889249786127987,-0.04367987346192496,0.04367987346192496,0.11521262439935492
sj,reanalysis,reanalysis_tdtr_k,reanalysis_tdtr_k_rolling_11_mean,11,936,-0.11724115397144265,0.11724115397144265,-0.06762267791072368,0.06762267791072368,0.049618476060718966
sj,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,936,0.10604560434357375,0.10604560434357375,0.047402660602263495,0.047402660602263495,0.05864294374131026
sj,ndvi,ndvi_ne,ndvi_ne_rolling_5_mean,5,936,0.10249349145695369,0.10249349145695369,0.0859184480966163,0.0859184480966163,0.016575043360337383
sj,station,station_precip_mm,station_precip_mm_rolling_5_mean,5,936,0.10072766494816299,0.10072766494816299,0.05188296055713842,0.05188296055713842,0.04884470439102457
sj,ndvi,ndvi_sw,ndvi_sw_rolling_7_mean,7,936,0.06982341372009027,0.06982341372009027,0.04267036640518986,0.04267036640518986,0.027153047314900404
sj,station,station_diur_temp_rng_c,station_diur_temp_rng_c_rolling_1_mean,1,936,0.03530348519023268,0.03530348519023268,0.03530348519023268,0.03530348519023268,0.0
