feature,missing_before,missing_after
ndvi_ne,194,0
ndvi_nw,52,0
ndvi_se,22,0
ndvi_sw,22,0
precipitation_amt_mm,13,0
reanalysis_air_temp_k,10,0
reanalysis_avg_temp_k,10,0
reanalysis_dew_point_temp_k,10,0
reanalysis_max_air_temp_k,10,0
reanalysis_min_air_temp_k,10,0
reanalysis_precip_amt_kg_per_m2,10,0
reanalysis_relative_humidity_percent,10,0
reanalysis_sat_precip_amt_mm,13,0
reanalysis_specific_humidity_g_per_kg,10,0
reanalysis_tdtr_k,10,0
station_avg_temp_c,43,0
station_diur_temp_rng_c,43,0
station_max_temp_c,20,0
station_min_temp_c,14,0
station_precip_mm,22,0
