city,window_weeks,rolling_stat,n_pairs,pearson_corr,abs_pearson_corr
iq,1,mean,519,0.747083951484919,0.747083951484919
iq,2,mean,519,0.7127648651878677,0.7127648651878677
iq,3,mean,519,0.7023033728548164,0.7023033728548164
iq,4,mean,519,0.6864582551017753,0.6864582551017753
iq,5,mean,519,0.6514305709465207,0.6514305709465207
iq,6,mean,519,0.6158241992274718,0.6158241992274718
iq,7,mean,519,0.5892607405583152,0.5892607405583152
iq,8,mean,519,0.5621365416370975,0.5621365416370975
iq,9,mean,519,0.534995777522649,0.534995777522649
iq,10,mean,519,0.5097387073400869,0.5097387073400869
iq,11,mean,519,0.4875271504340662,0.4875271504340662
iq,12,mean,519,0.4676708989863798,0.4676708989863798
iq,13,mean,519,0.45127080629067795,0.45127080629067795
iq,14,mean,519,0.4355536371307159,0.4355536371307159
sj,1,mean,935,0.9648156532418691,0.9648156532418691
sj,2,mean,935,0.9508367695324295,0.9508367695324295
sj,3,mean,935,0.9333289495643514,0.9333289495643514
sj,4,mean,935,0.9148212558503006,0.9148212558503006
sj,5,mean,935,0.8948346431243741,0.8948346431243741
sj,6,mean,935,0.8729697252556242,0.8729697252556242
sj,7,mean,935,0.8496621301889337,0.8496621301889337
sj,8,mean,935,0.8252236440485449,0.8252236440485449
sj,9,mean,935,0.7992659762730011,0.7992659762730011
sj,10,mean,935,0.772745471968859,0.772745471968859
sj,11,mean,935,0.745920523813176,0.745920523813176
sj,12,mean,935,0.719354121262317,0.719354121262317
sj,13,mean,935,0.6934957184272599,0.6934957184272599
sj,14,mean,935,0.6685528877529272,0.6685528877529272
