city,window_months,rolling_stat,n_pairs,pearson_corr,abs_pearson_corr
iq,1,mean,119,0.5861683475570816,0.5861683475570816
iq,2,mean,119,0.46461232776814954,0.46461232776814954
iq,3,mean,119,0.3981402419733123,0.3981402419733123
iq,4,mean,119,0.3297132897497718,0.3297132897497718
iq,5,mean,119,0.2692348004158865,0.2692348004158865
iq,6,mean,119,0.22169575146956533,0.22169575146956533
iq,7,mean,119,0.19623306557684642,0.19623306557684642
iq,8,mean,119,0.20004275229322271,0.20004275229322271
iq,9,mean,119,0.21019720057453947,0.21019720057453947
iq,10,mean,119,0.20408855231116196,0.20408855231116196
iq,11,mean,119,0.19673237852674247,0.19673237852674247
iq,12,mean,119,0.19302577982843094,0.19302577982843094
iq,13,mean,119,0.19355693065419247,0.19355693065419247
iq,14,mean,119,0.19190670342171767,0.19190670342171767
sj,1,mean,216,0.8029923048754145,0.8029923048754145
sj,2,mean,216,0.6872681961769628,0.6872681961769628
sj,3,mean,216,0.5837515416115072,0.5837515416115072
sj,4,mean,216,0.48881647924297933,0.48881647924297933
sj,5,mean,216,0.41337050242074413,0.41337050242074413
sj,6,mean,216,0.35479454775413727,0.35479454775413727
sj,7,mean,216,0.30997757668911335,0.30997757668911335
sj,8,mean,216,0.279816455037366,0.279816455037366
sj,9,mean,216,0.26316421202359364,0.26316421202359364
sj,10,mean,216,0.2545503712554923,0.2545503712554923
sj,11,mean,216,0.2500515012294661,0.2500515012294661
sj,12,mean,216,0.24595307997800744,0.24595307997800744
sj,13,mean,216,0.2370707914281738,0.2370707914281738
sj,14,mean,216,0.22357955432441787,0.22357955432441787
