iteration,feature_set,loss,target_transform,log_component_weight,city,validation_year,train_rows,validation_rows,feature_count,mae
11_calendar_broad_log_blend,calendar_broad_blend,weighted_average,mixed,0.3333333333333333,all,all,,1248,,18.03125
01_calendar_l1_raw,calendar,l1,none,0.0,all,all,,1248,4.0,18.145833333333332
02_calendar_l1_log,calendar,l1,log1p,1.0,all,all,,1248,4.0,18.17628205128205
09_broad_lag_roll_l1_log,broad_lag_roll,l1,log1p,1.0,all,all,,1248,204.0,18.89102564102564
04_raw_weather_l1_log,raw_weather,l1,log1p,1.0,all,all,,1248,44.0,18.973557692307693
06_conservative_lag_roll_l1_log,conservative_lag_roll,l1,log1p,1.0,all,all,,1248,132.0,19.07852564102564
05_conservative_lag_roll_l1_raw,conservative_lag_roll,l1,none,0.0,all,all,,1248,132.0,19.669070512820515
08_broad_lag_roll_l1_raw,broad_lag_roll,l1,none,0.0,all,all,,1248,204.0,19.834134615384617
03_raw_weather_l1_raw,raw_weather,l1,none,0.0,all,all,,1248,44.0,19.880608974358974
07_conservative_lag_roll_poisson,conservative_lag_roll,poisson,none,0.0,all,all,,1248,132.0,21.485576923076923
10_broad_lag_roll_poisson,broad_lag_roll,poisson,none,0.0,all,all,,1248,204.0,21.700320512820515
11_calendar_broad_log_blend,calendar_broad_blend,weighted_average,mixed,0.3333333333333333,iq,all,,416,,7.146634615384615
02_calendar_l1_log,calendar,l1,log1p,1.0,iq,all,,416,2.0,7.194711538461538
01_calendar_l1_raw,calendar,l1,none,0.0,iq,all,,416,2.0,7.201923076923077
09_broad_lag_roll_l1_log,broad_lag_roll,l1,log1p,1.0,iq,all,,416,79.0,7.408653846153846
03_raw_weather_l1_raw,raw_weather,l1,none,0.0,iq,all,,416,22.0,7.420673076923077
08_broad_lag_roll_l1_raw,broad_lag_roll,l1,none,0.0,iq,all,,416,79.0,7.423076923076923
04_raw_weather_l1_log,raw_weather,l1,log1p,1.0,iq,all,,416,22.0,7.519230769230769
06_conservative_lag_roll_l1_log,conservative_lag_roll,l1,log1p,1.0,iq,all,,416,67.0,7.552884615384615
05_conservative_lag_roll_l1_raw,conservative_lag_roll,l1,none,0.0,iq,all,,416,67.0,7.752403846153846
07_conservative_lag_roll_poisson,conservative_lag_roll,poisson,none,0.0,iq,all,,416,67.0,8.259615384615385
10_broad_lag_roll_poisson,broad_lag_roll,poisson,none,0.0,iq,all,,416,79.0,8.35576923076923
11_calendar_broad_log_blend,calendar_broad_blend,weighted_average,mixed,0.3333333333333333,sj,all,,832,,23.473557692307693
01_calendar_l1_raw,calendar,l1,none,0.0,sj,all,,832,2.0,23.61778846153846
02_calendar_l1_log,calendar,l1,log1p,1.0,sj,all,,832,2.0,23.667067307692307
09_broad_lag_roll_l1_log,broad_lag_roll,l1,log1p,1.0,sj,all,,832,125.0,24.63221153846154
04_raw_weather_l1_log,raw_weather,l1,log1p,1.0,sj,all,,832,22.0,24.700721153846153
06_conservative_lag_roll_l1_log,conservative_lag_roll,l1,log1p,1.0,sj,all,,832,65.0,24.841346153846153
05_conservative_lag_roll_l1_raw,conservative_lag_roll,l1,none,0.0,sj,all,,832,65.0,25.627403846153847
08_broad_lag_roll_l1_raw,broad_lag_roll,l1,none,0.0,sj,all,,832,125.0,26.03966346153846
03_raw_weather_l1_raw,raw_weather,l1,none,0.0,sj,all,,832,22.0,26.110576923076923
07_conservative_lag_roll_poisson,conservative_lag_roll,poisson,none,0.0,sj,all,,832,65.0,28.098557692307693
10_broad_lag_roll_poisson,broad_lag_roll,poisson,none,0.0,sj,all,,832,125.0,28.372596153846153
