iteration,model_type,city,validation_year,train_rows,validation_rows,all_year_mae,recent_validation_years,recent_mae,recent_score_weight,selection_mae
a24_recent7_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.56971153846154,4,11.841346153846153,0.3,15.851201923076923
a27_recent4_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,18.146634615384617,4,10.497596153846153,0.3,15.851923076923077
a28_recent7_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,all,all,,1248,17.580128205128204,4,11.846153846153847,0.3,15.859935897435896
a15_recent7_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.59294871794872,4,11.826923076923077,0.3,15.863141025641026
a21_recent4_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.173076923076923,4,10.54326923076923,0.3,15.884134615384614
a17_recent10_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.771634615384617,4,11.661057692307693,0.3,15.938461538461539
a23_recent6_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.920673076923077,4,11.353365384615385,0.3,15.950480769230769
a14_recent6_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.00721153846154,4,11.326923076923077,0.3,16.003125
a20_recent8_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.83253205128205,4,11.759615384615385,0.3,16.01065705128205
a16_recent9_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.865384615384617,4,11.704326923076923,0.3,16.017067307692308
a13_recent8_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.86698717948718,4,11.771634615384615,0.3,16.03838141025641
a10_calendar_lgbm_l1_recent_weighted_soft,lgbm_calendar_recent_weighted,all,all,,1248,18.004807692307693,4,12.17548076923077,0.3,16.256009615384617
a18_recent12_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.060897435897434,4,12.08173076923077,0.3,16.267147435897435
a02_calendar_lgbm_l1_recent_weighted,lgbm_calendar_recent_weighted,all,all,,1248,18.217147435897434,4,12.028846153846153,0.3,16.360657051282047
a22_recent5_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.30448717948718,4,11.867788461538462,0.3,16.373477564102565
a19_calendar_lgbm_l1_harmonic2,lgbm_calendar,all,all,,1248,18.11698717948718,4,12.391826923076923,0.3,16.399439102564102
a01_calendar_lgbm_l1_raw,lgbm_calendar,all,all,,1248,18.145833333333332,4,12.379807692307693,0.3,16.41602564102564
a09_calendar_lgbm_pm1_median_blend,blend,all,all,,1248,18.234775641025642,4,12.348557692307692,0.3,16.468910256410258
a11_calendar_lgbm_l1_recent_weighted_strong,lgbm_calendar_recent_weighted,all,all,,1248,18.459134615384617,4,11.829326923076923,0.3,16.470192307692308
a07_week_median_profile_pm2,week_profile,all,all,,1248,18.306891025641026,4,12.314903846153847,0.3,16.50929487179487
a12_calendar_lgbm_l1_recent_weighted_curved,lgbm_calendar_recent_weighted,all,all,,1248,18.537660256410255,4,11.875,0.3,16.53886217948718
