iteration,model_type,city,validation_year,train_rows,validation_rows,mae
a47_sj_quantile_lgbm_frontier_blend,blend,all,all,,1248,17.341346153846153
a50_sj_quantile_lgbm_frontier_blend_quantile_tilt,blend,all,all,,1248,17.362179487179485
a51_sj_quantile_lgbm_frontier_blend_lgbm_tilt,blend,all,all,,1248,17.365384615384617
a37_recent7_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,all,all,,1248,17.396634615384617
a39_recent7_calendar_quantile_harmonic2,quantile_calendar_recent_window,all,all,,1248,17.40625
a32_recent7_calendar_lgbm_l1_harmonic2_regularized,lgbm_calendar_recent_window,all,all,,1248,17.514423076923077
a24_recent7_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.58653846153846
a28_recent7_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,all,all,,1248,17.590544871794872
a15_recent7_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.66346153846154
a34_recent7_calendar_rf_abs_harmonic2,rf_calendar_recent_window,all,all,,1248,17.766826923076923
a17_recent10_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.838942307692307
a20_recent8_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.883814102564102
a40_recent4_calendar_quantile_harmonic2,quantile_calendar_recent_window,all,all,,1248,17.88621794871795
a38_recent4_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,all,all,,1248,17.897435897435898
a16_recent9_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.920673076923077
a13_recent8_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,17.932692307692307
a23_recent6_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,17.982371794871796
a10_calendar_lgbm_l1_recent_weighted_soft,lgbm_calendar_recent_weighted,all,all,,1248,18.0625
a14_recent6_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.064102564102566
a31_recent4_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,all,all,,1248,18.092147435897434
a33_recent4_calendar_lgbm_l1_harmonic2_regularized,lgbm_calendar_recent_window,all,all,,1248,18.11698717948718
a18_recent12_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.151442307692307
a19_calendar_lgbm_l1_harmonic2,lgbm_calendar,all,all,,1248,18.169070512820515
a35_recent4_calendar_rf_abs_harmonic2,rf_calendar_recent_window,all,all,,1248,18.178685897435898
a27_recent4_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,18.19871794871795
a01_calendar_lgbm_l1_raw,lgbm_calendar,all,all,,1248,18.228365384615383
a02_calendar_lgbm_l1_recent_weighted,lgbm_calendar_recent_weighted,all,all,,1248,18.267628205128204
a21_recent4_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.278846153846153
a09_calendar_lgbm_pm1_median_blend,blend,all,all,,1248,18.28846153846154
a48_iq_lgbm_rf_frontier_blend_recent_tilt,blend,all,all,,1248,18.294070512820515
a07_week_median_profile_pm2,week_profile,all,all,,1248,18.306891025641026
a06_week_median_profile_pm1,week_profile,all,all,,1248,18.340544871794872
a22_recent5_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.366185897435898
a04_week_median_profile,week_profile,all,all,,1248,18.493589743589745
a46_iq_lgbm_rf_frontier_blend,blend,all,all,,1248,18.50801282051282
a12_calendar_lgbm_l1_recent_weighted_curved,lgbm_calendar_recent_weighted,all,all,,1248,18.524839743589745
a11_calendar_lgbm_l1_recent_weighted_strong,lgbm_calendar_recent_weighted,all,all,,1248,18.540865384615383
a30_recent3_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,18.55849358974359
a26_recent3_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,18.628205128205128
a08_recent5_week_median_profile,week_profile,all,all,,1248,18.721153846153847
a45_iq_lgbm_frontier_blend,blend,all,all,,1248,18.78205128205128
a49_iq_lgbm_rf_frontier_blend_short_tilt,blend,all,all,,1248,18.814903846153847
a29_recent2_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,all,all,,1248,20.044871794871796
a25_recent2_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,all,all,,1248,20.638621794871796
a44_recent4_calendar_negbin_glm_harmonic2,glm_negbin_calendar_recent_window,all,all,,1248,21.24919871794872
a42_recent4_calendar_poisson_glm_harmonic2,glm_poisson_calendar_recent_window,all,all,,1248,21.401442307692307
a43_recent7_calendar_negbin_glm_harmonic2,glm_negbin_calendar_recent_window,all,all,,1248,21.69871794871795
a41_recent7_calendar_poisson_glm_harmonic2,glm_poisson_calendar_recent_window,all,all,,1248,21.75400641025641
a36_recent2_calendar_rf_abs_harmonic2,rf_calendar_recent_window,all,all,,1248,22.298076923076923
a05_week_mean_profile,week_profile,all,all,,1248,23.43669871794872
a03_calendar_lgbm_l1_with_year_index,lgbm_calendar_year_index,all,all,,1248,24.14903846153846
a46_iq_lgbm_rf_frontier_blend,blend,iq,all,,416,6.8076923076923075
a45_iq_lgbm_frontier_blend,blend,iq,all,,416,6.814903846153846
a49_iq_lgbm_rf_frontier_blend_short_tilt,blend,iq,all,,416,6.814903846153846
a48_iq_lgbm_rf_frontier_blend_recent_tilt,blend,iq,all,,416,6.829326923076923
a25_recent2_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,6.850961538461538
a38_recent4_calendar_lgbm_l1_harmonic2_more_regularized,lgbm_calendar_recent_window,iq,all,,416,6.899038461538462
a29_recent2_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,iq,all,,416,6.9014423076923075
a33_recent4_calendar_lgbm_l1_harmonic2_regularized,lgbm_calendar_recent_window,iq,all,,416,6.903846153846154
a35_recent4_calendar_rf_abs_harmonic2,rf_calendar_recent_window,iq,all,,416,6.908653846153846
a21_recent4_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,6.939903846153846
a27_recent4_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,iq,all,,416,6.944711538461538
a31_recent4_calendar_lgbm_l1_harmonic3,lgbm_calendar_recent_window,iq,all,,416,6.947115384615385
a40_recent4_calendar_quantile_harmonic2,quantile_calendar_recent_window,iq,all,,416,6.949519230769231
a36_recent2_calendar_rf_abs_harmonic2,rf_calendar_recent_window,iq,all,,416,6.978365384615385
a34_recent7_calendar_rf_abs_harmonic2,rf_calendar_recent_window,iq,all,,416,7.074519230769231
a23_recent6_calendar_lgbm_l1_harmonic2,lgbm_calendar_recent_window,iq,all,,416,7.0889423076923075
a14_recent6_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,7.091346153846154
a43_recent7_calendar_negbin_glm_harmonic2,glm_negbin_calendar_recent_window,iq,all,,416,7.127403846153846
a41_recent7_calendar_poisson_glm_harmonic2,glm_poisson_calendar_recent_window,iq,all,,416,7.134615384615385
a39_recent7_calendar_quantile_harmonic2,quantile_calendar_recent_window,iq,all,,416,7.1875
a19_calendar_lgbm_l1_harmonic2,lgbm_calendar,iq,all,,416,7.1923076923076925
a02_calendar_lgbm_l1_recent_weighted,lgbm_calendar_recent_weighted,iq,all,,416,7.194711538461538
a47_sj_quantile_lgbm_frontier_blend,blend,iq,all,,416,7.197115384615385
a22_recent5_calendar_lgbm_l1_raw,lgbm_calendar_recent_window,iq,all,,416,7.201923076923077
a50_sj_quantile_lgbm_frontier_blend_quantile_tilt,blend,iq,all,,416,7.206730769230769
a51_sj_quantile_lgbm_frontier_blend_lgbm_tilt,blend,iq,all,,416,7.209134615384615
